facialLandmark,x,y
1,80.00,199.00
2,89.00,231.70
3,100.50,258.50
4,106.00,270.00
5,117.30,284.70
6,130.30,298.30
7,145.00,311.00
8,166.00,313.00
9,187.00,306.00
10,200.30,291.30
11,211.70,275.00
12,221.00,257.00
13,223.00,244.00
14,225.00,213.00
15,222.00,176.00
16,207.00,168.00
17,189.00,163.00
18,171.00,169.00
19,156.00,183.00
20,174.00,177.00
21,190.00,171.00
22,82.00,188.00
23,96.00,178.00
24,113.00,179.00
25,131.00,187.00
26,113.00,187.00
27,97.00,187.00
28,97.00,198.00
29,109.00,189.00
30,125.00,195.00
31,111.00,202.00
32,110.00,194.00
33,193.00,182.00
34,177.00,177.00
35,165.00,188.00
36,180.00,190.00
37,178.00,183.00
38,138.00,192.70
39,138.00,220.00
40,132.00,236.00
41,138.00,243.00
42,154.00,247.00
43,169.00,238.00
44,172.00,229.00
45,160.00,217.00
46,160.00,190.30
47,141.00,242.00
48,164.00,238.00
49,128.00,266.00
50,140.00,263.00
51,150.00,261.00
52,157.00,261.00
53,163.00,259.00
54,175.00,257.00
55,189.00,256.00
56,181.00,266.00
57,171.00,272.00
58,159.00,276.00
59,148.00,276.00
60,138.00,273.00
61,145.00,268.00
62,158.00,269.00
63,172.00,264.00
64,171.00,261.00
65,158.00,265.00
66,144.00,266.00
67,158.00,267.00
68,151.00,236.00
69,103.00,192.00
70,116.00,190.00
71,118.00,199.00
72,104.00,201.00
73,185.00,178.00
74,171.00,181.00
75,173.00,190.00
76,187.00,187.00
