facialLandmark,x,y
1,63.00,203.00
2,67.30,240.70
3,76.00,271.00
4,80.00,284.00
5,90.00,301.30
6,102.00,317.00
7,116.00,331.00
8,137.00,337.00
9,163.00,332.00
10,184.30,316.70
11,202.30,299.70
12,217.00,281.00
13,219.50,265.50
14,223.30,230.00
15,221.00,191.00
16,199.00,176.00
17,180.00,167.00
18,161.00,170.00
19,143.00,182.00
20,163.00,178.00
21,180.00,175.00
22,60.00,185.00
23,73.00,176.00
24,89.00,177.00
25,105.00,186.00
26,88.00,185.00
27,73.00,183.00
28,77.00,204.00
29,91.00,196.00
30,107.00,204.00
31,92.00,210.00
32,94.00,202.00
33,183.00,196.00
34,167.00,190.00
35,152.00,200.00
36,169.00,204.00
37,169.00,196.00
38,114.00,202.70
39,114.00,236.00
40,108.00,250.00
41,114.00,260.00
42,127.00,265.00
43,143.00,257.00
44,149.00,248.00
45,137.00,234.00
46,137.00,201.30
47,115.00,258.00
48,138.00,256.00
49,105.00,284.00
50,113.00,281.00
51,122.00,279.00
52,129.00,280.00
53,136.00,278.00
54,149.00,278.00
55,166.00,278.00
56,156.00,288.00
57,145.00,294.00
58,132.00,297.00
59,121.00,296.00
60,112.00,292.00
61,118.00,288.00
62,132.00,289.00
63,146.00,286.00
64,146.00,282.00
65,131.00,284.00
66,118.00,284.00
67,131.50,286.50
68,123.00,252.00
69,84.00,198.00
70,99.00,198.00
71,99.00,208.00
72,85.00,208.00
73,175.00,191.00
74,159.00,193.00
75,160.00,203.00
76,176.00,202.00
