facialLandmark,x,y
1,543.85,280.58
2,543.58,314.18
3,547.11,344.06
4,554.33,373.82
5,569.27,404.72
6,590.18,422.48
7,618.76,433.30
8,647.91,436.96
9,678.20,431.65
10,703.88,420.15
11,720.74,396.47
12,728.58,366.54
13,733.68,337.21
14,738.19,309.02
15,737.96,276.39
16,726.69,262.80
17,708.54,250.84
18,687.73,252.49
19,668.57,263.63
20,689.20,260.81
21,708.02,258.64
22,564.88,267.78
23,583.32,254.22
24,604.75,253.75
25,626.41,264.29
26,604.07,262.29
27,584.49,261.36
28,581.41,280.36
29,599.54,270.18
30,619.97,280.52
31,600.51,286.54
32,601.03,276.95
33,710.29,277.93
34,691.99,268.80
35,673.08,279.52
36,692.57,280.86
37,692.36,275.96
38,636.11,278.11
39,632.68,313.35
40,621.26,326.40
41,627.95,337.44
42,648.13,344.60
43,665.74,337.04
44,672.64,330.42
45,660.16,310.83
46,656.54,277.37
47,634.03,335.14
48,661.98,334.66
49,608.61,367.14
50,624.18,358.13
51,639.52,355.43
52,648.46,355.64
53,656.06,354.79
54,670.88,356.80
55,684.30,364.03
56,676.84,377.66
57,665.02,386.40
58,649.58,389.88
59,633.08,388.62
60,618.47,382.12
61,631.40,377.60
62,649.00,379.91
63,665.80,376.30
64,665.15,361.15
65,648.61,362.21
66,631.03,361.99
67,649.24,370.55
68,649.03,328.14
69,590.44,275.12
70,609.51,275.25
71,610.15,283.54
72,590.80,283.41
73,701.19,273.26
74,682.71,274.02
75,682.86,280.14
76,701.28,279.40
