facialLandmark,x,y
1,95.45,192.66
2,95.78,218.60
3,102.54,242.78
4,112.47,266.62
5,124.22,281.77
6,135.51,296.08
7,149.34,310.92
8,171.98,317.45
9,192.77,311.91
10,209.30,298.39
11,223.13,284.72
12,235.96,268.51
13,246.77,240.46
14,251.18,213.55
15,252.00,184.80
16,232.64,171.63
17,215.09,163.98
18,197.03,168.04
19,181.82,178.19
20,199.14,175.37
21,215.40,171.23
22,96.70,180.34
23,108.62,169.63
24,124.97,171.44
25,143.24,181.26
26,124.52,178.81
27,109.23,177.25
28,111.38,193.49
29,125.13,185.10
30,141.77,193.24
31,126.03,198.81
32,126.19,190.97
33,218.25,187.60
34,202.59,181.74
35,188.13,190.71
36,203.59,194.12
37,202.54,187.00
38,155.55,192.15
39,153.71,218.80
40,144.82,232.57
41,151.45,241.85
42,165.37,246.34
43,180.48,240.35
44,187.54,233.77
45,175.23,218.03
46,172.96,191.40
47,152.93,240.19
48,176.48,238.83
49,140.67,265.78
50,149.58,259.97
51,159.76,257.22
52,166.24,257.45
53,173.02,256.55
54,186.13,257.15
55,200.48,260.02
56,193.44,272.46
57,183.01,280.85
58,169.23,284.46
59,157.48,283.24
60,147.64,277.22
61,154.47,273.83
62,168.04,276.11
63,182.75,272.21
64,181.81,260.07
65,166.92,262.16
66,154.10,262.32
67,167.76,268.76
68,163.83,235.30
69,118.34,189.21
70,133.33,189.24
71,133.89,196.02
72,118.72,196.24
73,210.55,184.61
74,195.43,186.20
75,195.96,192.38
76,210.90,190.86
