facialLandmark,x,y
1,413.27,133.88
2,412.77,151.06
3,414.58,167.26
4,417.25,184.72
5,422.34,198.04
6,430.03,207.99
7,439.68,216.86
8,452.74,220.81
9,468.79,217.93
10,483.85,210.00
11,495.48,197.74
12,502.57,179.53
13,504.45,164.43
14,506.32,150.65
15,507.88,134.84
16,496.25,121.60
17,486.32,115.97
18,475.76,116.55
19,466.48,122.19
20,476.58,121.05
21,486.18,119.92
22,420.09,121.27
23,428.42,114.98
24,437.62,115.50
25,446.28,121.95
26,436.99,120.35
27,428.72,119.20
28,426.50,133.56
29,435.11,128.57
30,444.16,134.85
31,434.45,137.43
32,434.61,132.81
33,489.23,134.85
34,480.16,129.29
35,470.50,134.97
36,479.79,138.38
37,479.03,133.51
38,451.37,133.36
39,448.24,149.19
40,441.56,159.01
41,443.80,164.44
42,452.71,168.26
43,462.97,165.95
44,467.74,160.72
45,462.16,151.28
46,461.52,134.01
47,446.41,163.09
48,459.99,163.91
49,436.99,180.31
50,442.63,177.08
51,448.34,176.39
52,452.05,176.97
53,456.62,177.05
54,463.84,178.64
55,471.09,182.69
56,465.43,186.00
57,459.09,187.28
58,451.78,187.61
59,445.78,186.42
60,441.35,184.18
61,445.70,181.91
62,452.11,183.48
63,461.09,182.69
64,461.13,181.44
65,452.11,180.99
66,445.67,180.26
67,452.32,182.17
68,452.50,158.71
69,430.74,130.97
70,439.56,131.59
71,439.30,136.03
72,430.51,135.53
73,484.79,132.00
74,475.51,132.13
75,475.16,136.79
76,484.39,136.57
