facialLandmark,x,y
1,183.73,412.99
2,192.77,467.91
3,204.21,515.90
4,222.28,572.06
5,249.10,609.29
6,285.13,635.99
7,325.82,655.95
8,372.64,662.72
9,417.25,652.55
10,453.88,630.67
11,478.58,601.07
12,496.51,567.80
13,511.56,508.25
14,520.16,454.60
15,523.84,395.35
16,487.40,375.22
17,452.07,362.19
18,419.10,369.54
19,389.72,389.73
20,423.24,382.72
21,453.08,375.03
22,218.81,390.73
23,251.49,371.49
24,288.88,374.67
25,325.15,393.12
26,287.34,388.01
27,252.59,384.55
28,249.62,413.73
29,277.96,398.48
30,311.84,414.83
31,280.21,426.39
32,281.40,408.91
33,462.33,402.67
34,431.93,391.67
35,402.17,410.44
36,433.95,415.08
37,433.64,402.80
38,340.68,410.35
39,341.50,470.42
40,320.61,502.00
41,333.43,522.70
42,368.23,533.38
43,399.00,519.56
44,408.43,502.92
45,382.02,465.27
46,375.74,408.06
47,342.77,518.50
48,390.65,516.20
49,307.37,566.45
50,332.58,557.02
51,355.02,552.83
52,369.43,554.09
53,382.56,551.77
54,404.21,554.46
55,427.36,560.81
56,415.24,581.62
57,397.78,594.73
58,373.09,600.44
59,346.33,597.53
60,324.49,586.72
61,343.76,572.44
62,370.46,575.05
63,394.72,570.77
64,394.24,568.03
65,370.27,569.79
66,344.25,570.16
67,370.67,571.52
68,367.51,506.42
69,263.61,405.96
70,294.66,406.66
71,295.91,420.53
72,264.91,420.00
73,447.04,397.42
74,417.17,400.78
75,418.06,412.62
76,447.86,408.75
