facialLandmark,x,y
1,269.00,126.00
2,271.00,152.00
3,276.00,172.50
4,279.00,181.00
5,287.70,192.30
6,298.00,202.30
7,310.00,211.00
8,325.00,214.00
9,340.00,209.00
10,350.70,198.30
11,359.30,186.70
12,366.00,174.00
13,368.00,166.00
14,371.30,147.30
15,372.00,125.00
16,367.00,114.00
17,357.00,108.00
18,346.00,109.00
19,336.00,116.00
20,347.00,114.00
21,358.00,113.00
22,277.00,114.00
23,288.00,108.00
24,300.00,109.00
25,311.00,115.00
26,299.00,114.00
27,288.00,112.00
28,288.00,126.00
29,297.00,121.00
30,308.00,127.00
31,297.00,130.00
32,298.00,125.00
33,359.00,126.00
34,349.00,121.00
35,339.00,127.00
36,349.00,130.00
37,349.00,125.00
38,316.00,127.00
39,316.00,146.00
40,309.00,153.00
41,313.00,159.00
42,324.00,164.00
43,335.00,160.00
44,338.00,153.00
45,332.00,145.00
46,332.00,127.00
47,316.00,159.00
48,332.00,159.00
49,301.00,174.00
50,310.00,171.00
51,319.00,171.00
52,324.00,171.00
53,329.00,171.00
54,337.00,171.00
55,345.00,174.00
56,340.00,182.00
57,333.00,187.00
58,324.00,189.00
59,315.00,187.00
60,307.00,182.00
61,314.00,181.00
62,324.00,183.00
63,334.00,180.00
64,334.00,174.00
65,324.00,175.00
66,314.00,174.00
67,324.00,179.00
68,325.00,156.00
69,292.00,122.00
70,302.00,122.00
71,303.00,129.00
72,293.00,129.00
73,354.00,122.00
74,344.00,123.00
75,344.00,129.00
76,354.00,129.00
