facialLandmark,x,y
1,235.00,172.00
2,237.70,205.30
3,245.50,235.00
4,250.00,248.00
5,261.30,266.00
6,273.30,283.30
7,286.00,300.00
8,305.00,307.00
9,331.00,301.00
10,352.30,284.30
11,370.30,265.70
12,385.00,245.00
13,389.00,232.50
14,394.30,203.30
15,395.00,170.00
16,370.00,157.00
17,351.00,145.00
18,330.00,148.00
19,313.00,160.00
20,332.00,157.00
21,351.00,154.00
22,239.00,154.00
23,254.00,143.00
24,271.00,147.00
25,286.00,159.00
26,270.00,156.00
27,254.00,153.00
28,253.00,173.00
29,267.00,166.00
30,282.00,174.00
31,267.00,179.00
32,269.00,172.00
33,355.00,174.00
34,339.00,167.00
35,324.00,175.00
36,340.00,180.00
37,340.00,173.00
38,287.00,174.30
39,287.00,199.00
40,277.00,211.00
41,281.00,221.00
42,298.00,228.00
43,318.00,221.00
44,323.00,211.00
45,310.00,199.00
46,310.00,174.70
47,285.00,221.00
48,310.00,220.00
49,270.00,243.00
50,280.00,237.00
51,292.00,236.00
52,299.00,237.00
53,306.00,235.00
54,321.00,236.00
55,338.00,241.00
56,331.00,256.00
57,318.00,266.00
58,302.00,269.00
59,288.00,267.00
60,277.00,258.00
61,286.00,254.00
62,301.00,258.00
63,318.00,254.00
64,317.00,242.00
65,300.00,244.00
66,286.00,243.00
67,300.50,251.00
68,295.00,216.00
69,260.00,168.00
70,274.00,168.00
71,275.00,177.00
72,260.00,177.00
73,347.00,169.00
74,332.00,170.00
75,332.00,179.00
76,348.00,178.00
