facialLandmark,x,y
1,101.00,171.00
2,103.30,207.00
3,109.00,234.00
4,112.00,245.00
5,122.00,263.00
6,135.00,279.70
7,151.00,295.00
8,174.00,301.00
9,196.00,295.00
10,211.30,279.70
11,224.70,263.30
12,236.00,246.00
13,238.00,231.50
14,240.70,199.70
15,239.00,166.00
16,223.00,148.00
17,208.00,142.00
18,194.00,146.00
19,182.00,156.00
20,196.00,153.00
21,209.00,149.00
22,109.00,157.00
23,122.00,148.00
24,137.00,149.00
25,151.00,158.00
26,136.00,156.00
27,122.00,155.00
28,124.00,172.00
29,136.00,165.00
30,150.00,173.00
31,136.00,177.00
32,138.00,171.00
33,214.00,167.00
34,201.00,161.00
35,188.00,171.00
36,202.00,174.00
37,203.00,167.00
38,158.00,172.30
39,158.00,200.00
40,148.00,214.00
41,154.00,222.00
42,171.00,227.00
43,187.00,220.00
44,192.00,212.00
45,180.00,198.00
46,180.00,171.70
47,159.00,221.00
48,182.00,219.00
49,140.00,244.00
50,152.00,237.00
51,165.00,236.00
52,172.00,237.00
53,178.00,235.00
54,191.00,235.00
55,205.00,239.00
56,199.00,255.00
57,188.00,265.00
58,174.00,268.00
59,159.00,266.00
60,147.00,258.00
61,158.00,256.00
62,173.00,258.00
63,188.00,254.00
64,187.00,240.00
65,172.00,243.00
66,157.00,242.00
67,172.50,250.50
68,170.00,215.00
69,130.00,167.00
70,143.00,167.00
71,143.00,176.00
72,130.00,176.00
73,208.00,163.00
74,195.00,164.00
75,195.00,173.00
76,208.00,172.00
