facialLandmark,x,y
1,94.00,191.00
2,99.00,226.30
3,107.00,257.00
4,111.00,271.00
5,125.00,293.70
6,143.00,311.00
7,165.00,323.00
8,192.00,324.00
9,222.00,317.00
10,249.30,298.30
11,269.70,274.70
12,283.00,246.00
13,282.50,229.50
14,279.30,194.30
15,271.00,160.00
16,239.00,155.00
17,220.00,143.00
18,200.00,144.00
19,183.00,157.00
20,202.00,155.00
21,220.00,154.00
22,103.00,179.00
23,113.00,163.00
24,130.00,158.00
25,148.00,164.00
26,132.00,169.00
27,117.00,173.00
28,121.00,187.00
29,133.00,177.00
30,148.00,182.00
31,135.00,189.00
32,135.00,182.00
33,225.00,169.00
34,210.00,163.00
35,196.00,173.00
36,212.00,175.00
37,212.00,169.00
38,158.00,179.00
39,158.00,205.00
40,147.00,226.00
41,155.00,236.00
42,175.00,236.00
43,197.00,229.00
44,203.00,217.00
45,183.00,201.00
46,183.00,176.00
47,159.00,230.00
48,188.00,225.00
49,151.00,270.00
50,159.00,260.00
51,170.00,255.00
52,178.00,255.00
53,186.00,252.00
54,201.00,252.00
55,219.00,258.00
56,209.00,267.00
57,197.00,272.00
58,183.00,275.00
59,170.00,277.00
60,159.00,276.00
61,166.00,268.00
62,181.00,266.00
63,198.00,262.00
64,197.00,258.00
65,180.00,261.00
66,165.00,264.00
67,180.50,263.50
68,169.00,219.00
69,127.00,180.00
70,140.00,178.00
71,141.00,186.00
72,128.00,188.00
73,217.00,165.00
74,203.00,167.00
75,204.00,175.00
76,218.00,173.00
