facialLandmark,x,y
1,373.64,668.58
2,371.51,762.36
3,379.86,844.81
4,403.12,929.15
5,441.81,1004.78
6,482.83,1065.66
7,546.84,1122.03
8,627.21,1145.83
9,698.64,1132.25
10,748.18,1089.21
11,795.59,1036.67
12,838.99,979.19
13,874.82,893.31
14,894.11,804.42
15,903.49,707.79
16,868.31,644.46
17,821.89,603.66
18,768.48,603.23
19,714.12,633.91
20,769.78,631.84
21,818.39,631.28
22,427.30,613.94
23,481.70,577.84
24,543.44,585.51
25,596.72,625.66
26,537.35,613.77
27,482.47,605.45
28,477.40,680.66
29,527.42,660.90
30,579.86,692.22
31,525.67,704.03
32,532.97,679.28
33,820.41,705.19
34,772.01,678.56
35,718.63,701.45
36,771.10,721.97
37,773.67,698.19
38,621.02,697.44
39,605.55,784.67
40,563.70,825.49
41,581.57,853.16
42,645.58,883.81
43,698.17,861.09
44,719.46,837.75
45,683.62,783.45
46,678.81,699.60
47,601.71,856.33
48,687.77,861.37
49,517.56,920.68
50,572.54,907.11
51,621.85,909.34
52,646.33,913.81
53,667.71,911.10
54,708.52,914.91
55,747.01,932.67
56,723.05,985.71
57,683.10,1017.93
58,637.15,1025.02
59,584.85,1013.41
60,539.37,977.79
61,585.40,972.03
62,640.43,987.31
63,690.39,977.86
64,692.20,930.43
65,644.55,934.61
66,589.83,925.59
67,642.34,958.04
68,648.17,844.97
69,502.18,670.32
70,553.34,676.73
71,552.78,698.10
72,501.42,692.40
73,796.24,691.40
74,745.27,690.01
75,744.31,712.49
76,795.45,713.99
