facialLandmark,x,y
1,401.08,696.24
2,413.95,786.47
3,433.54,870.14
4,456.80,951.27
5,493.57,1005.67
6,537.33,1059.46
7,588.23,1110.00
8,658.76,1130.74
9,734.59,1112.60
10,794.27,1063.84
11,839.46,1012.68
12,879.74,945.29
13,899.66,854.66
14,907.39,762.97
15,907.96,663.37
16,839.70,617.02
17,781.25,580.57
18,718.60,591.41
19,672.10,635.44
20,726.16,622.59
21,781.49,610.53
22,424.86,636.14
23,467.62,605.85
24,514.99,611.17
25,564.93,645.11
26,512.13,639.80
27,467.57,633.70
28,469.34,697.42
29,512.84,672.73
30,564.98,695.30
31,515.52,715.32
32,520.57,690.49
33,795.75,674.17
34,744.52,656.38
35,697.30,686.21
36,747.57,697.22
37,750.75,674.69
38,597.81,695.52
39,590.58,796.69
40,569.50,831.42
41,589.21,858.97
42,634.43,882.00
43,688.28,852.16
44,706.07,833.11
45,667.79,788.93
46,650.43,691.01
47,593.23,859.09
48,672.36,855.20
49,536.91,927.91
50,577.02,910.43
51,615.73,906.95
52,635.85,908.48
53,656.07,904.35
54,706.30,903.15
55,763.44,913.55
56,738.59,969.54
57,694.33,1001.45
58,647.50,1011.85
59,604.61,1006.41
60,562.91,977.86
61,593.83,974.23
62,643.70,983.11
63,695.00,969.61
64,690.22,916.23
65,638.34,926.18
66,592.22,923.17
67,641.91,952.57
68,628.34,847.58
69,490.63,684.92
70,538.96,684.68
71,540.11,705.27
72,492.07,706.30
73,770.20,665.07
74,720.91,670.89
75,722.40,692.03
76,771.57,686.09
