facialLandmark,x,y
1,851.00,1171.00
2,906.70,1426.30
3,979.50,1662.00
4,1025.00,1773.00
5,1135.00,1896.30
6,1253.00,2012.70
7,1379.00,2122.00
8,1568.00,2154.00
9,1741.00,2095.00
10,1818.30,1978.30
11,1891.70,1869.30
12,1961.00,1768.00
13,1989.50,1652.50
14,2026.00,1398.30
15,2040.00,1107.00
16,1967.00,1003.00
17,1871.00,940.00
18,1755.00,958.00
19,1630.00,1032.00
20,1759.00,1019.00
21,1865.00,1006.00
22,964.00,1049.00
23,1065.00,989.00
24,1182.00,1001.00
25,1306.00,1057.00
26,1180.00,1058.00
27,1072.00,1052.00
28,1064.00,1172.00
29,1159.00,1129.00
30,1274.00,1178.00
31,1164.00,1210.00
32,1163.00,1162.00
33,1857.00,1121.00
34,1758.00,1091.00
35,1656.00,1154.00
36,1766.00,1168.00
37,1755.00,1124.00
38,1394.00,1170.00
39,1394.00,1375.00
40,1270.00,1526.00
41,1337.00,1566.00
42,1526.00,1619.00
43,1684.00,1536.00
44,1743.00,1487.00
45,1594.00,1354.00
46,1594.00,1162.00
47,1388.00,1569.00
48,1645.00,1547.00
49,1234.00,1743.00
50,1359.00,1697.00
51,1472.00,1689.00
52,1532.00,1690.00
53,1588.00,1678.00
54,1697.00,1667.00
55,1815.00,1689.00
56,1769.00,1822.00
57,1677.00,1909.00
58,1558.00,1942.00
59,1429.00,1933.00
60,1314.00,1868.00
61,1408.00,1828.00
62,1547.00,1845.00
63,1671.00,1807.00
64,1660.00,1727.00
65,1537.00,1754.00
66,1405.00,1750.00
67,1542.00,1799.50
68,1521.00,1532.00
69,1112.00,1142.00
70,1216.00,1143.00
71,1219.00,1200.00
72,1115.00,1199.00
73,1808.00,1099.00
74,1707.00,1110.00
75,1711.00,1164.00
76,1812.00,1154.00
