facialLandmark,x,y
1,105.00,248.00
2,108.30,301.00
3,120.00,348.50
4,127.00,370.00
5,142.30,395.30
6,162.70,420.30
7,188.00,445.00
8,227.00,453.00
9,261.00,446.00
10,281.70,425.30
11,301.30,403.70
12,320.00,381.00
13,326.50,356.50
14,337.00,302.00
15,339.00,242.00
16,324.00,212.00
17,303.00,196.00
18,278.00,200.00
19,254.00,217.00
20,280.00,214.00
21,303.00,211.00
22,119.00,223.00
23,140.00,205.00
24,167.00,207.00
25,193.00,222.00
26,166.00,222.00
27,141.00,220.00
28,137.00,251.00
29,158.00,240.00
30,181.00,252.00
31,158.00,260.00
32,157.00,249.00
33,307.00,242.00
34,285.00,233.00
35,264.00,247.00
36,287.00,252.00
37,284.00,242.00
38,207.00,250.30
39,207.00,289.00
40,184.00,314.00
41,194.00,331.00
42,229.00,339.00
43,263.00,328.00
44,271.00,310.00
45,247.00,288.00
46,247.00,248.70
47,205.00,327.00
48,252.00,325.00
49,173.00,373.00
50,197.00,366.00
51,217.00,363.00
52,230.00,366.00
53,242.00,363.00
54,261.00,364.00
55,282.00,369.00
56,269.00,387.00
57,251.00,397.00
58,229.00,400.00
59,207.00,398.00
60,188.00,389.00
61,203.00,379.00
62,229.00,382.00
63,253.00,378.00
64,253.00,376.00
65,229.00,378.00
66,204.00,378.00
67,229.00,380.00
68,229.00,317.00
69,148.00,244.00
70,170.00,244.00
71,170.00,258.00
72,148.00,257.00
73,296.00,236.00
74,275.00,237.00
75,275.00,251.00
76,297.00,250.00
