facialLandmark,x,y
1,44.00,138.00
2,45.70,178.30
3,53.00,211.00
4,57.00,225.00
5,64.30,241.70
6,74.30,257.30
7,87.00,272.00
8,108.00,278.00
9,135.00,273.00
10,156.30,257.70
11,174.00,240.00
12,188.00,220.00
13,190.50,205.50
14,194.30,171.70
15,193.00,132.00
16,168.00,115.00
17,152.00,104.00
18,133.00,105.00
19,118.00,117.00
20,135.00,114.00
21,151.00,112.00
22,47.00,118.00
23,60.00,107.00
24,74.00,108.00
25,87.00,118.00
26,73.00,117.00
27,60.00,116.00
28,57.00,138.00
29,70.00,130.00
30,84.00,139.00
31,70.00,144.00
32,72.00,137.00
33,158.00,135.00
34,143.00,128.00
35,129.00,137.00
36,144.00,142.00
37,145.00,134.00
38,89.00,138.30
39,89.00,165.00
40,78.00,182.00
41,82.00,193.00
42,100.00,198.00
43,123.00,192.00
44,129.00,181.00
45,113.00,165.00
46,113.00,137.70
47,87.00,190.00
48,114.00,188.00
49,74.00,224.00
50,83.00,217.00
51,94.00,215.00
52,102.00,216.00
53,110.00,214.00
54,124.00,215.00
55,142.00,221.00
56,132.00,232.00
57,119.00,239.00
58,104.00,242.00
59,91.00,241.00
60,81.00,235.00
61,89.00,229.00
62,104.00,231.00
63,120.00,228.00
64,120.00,222.00
65,103.00,224.00
66,89.00,224.00
67,103.50,227.50
68,97.00,181.00
69,64.00,133.00
70,77.00,133.00
71,77.00,143.00
72,64.00,142.00
73,151.00,130.00
74,136.00,131.00
75,137.00,140.00
76,151.00,139.00
