facialLandmark,x,y
1,57.00,174.00
2,51.30,214.00
3,51.50,250.00
4,53.00,266.00
5,66.30,286.70
6,83.30,305.30
7,104.00,322.00
8,130.00,329.00
9,154.00,324.00
10,168.00,310.00
11,179.70,295.70
12,189.00,281.00
13,194.00,268.50
14,203.70,238.00
15,210.00,198.00
16,209.00,181.00
17,198.00,169.00
18,184.00,167.00
19,169.00,175.00
20,184.00,176.00
21,197.00,177.00
22,91.00,160.00
23,110.00,153.00
24,128.00,157.00
25,140.00,169.00
26,125.00,165.00
27,109.00,162.00
28,97.00,180.00
29,112.00,175.00
30,125.00,187.00
31,110.00,188.00
32,109.00,181.00
33,196.00,196.00
34,185.00,187.00
35,169.00,194.00
36,183.00,200.00
37,182.00,193.00
38,136.00,189.30
39,136.00,219.00
40,117.00,232.00
41,122.00,242.00
42,145.00,253.00
43,166.00,249.00
44,172.00,240.00
45,162.00,222.00
46,162.00,191.70
47,132.00,242.00
48,162.00,247.00
49,99.00,266.00
50,118.00,262.00
51,134.00,263.00
52,142.00,265.00
53,150.00,265.00
54,162.00,268.00
55,171.00,277.00
56,164.00,290.00
57,151.00,296.00
58,136.00,296.00
59,120.00,292.00
60,106.00,282.00
61,121.00,279.00
62,138.00,283.00
63,154.00,283.00
64,155.00,275.00
65,140.00,274.00
66,122.00,270.00
67,139.00,278.50
68,151.00,239.00
69,105.00,176.00
70,119.00,179.00
71,117.00,188.00
72,103.00,186.00
73,191.00,190.00
74,177.00,189.00
75,176.00,198.00
76,190.00,199.00
