facialLandmark,x,y
1,241.29,449.13
2,243.80,519.37
3,251.89,578.26
4,261.99,637.39
5,289.95,697.08
6,329.74,739.40
7,383.97,769.38
8,447.18,782.72
9,505.13,770.74
10,550.88,742.06
11,592.63,706.83
12,620.62,651.90
13,629.48,585.15
14,634.77,523.03
15,632.62,450.58
16,588.53,419.85
17,553.35,397.64
18,516.47,398.40
19,483.21,420.23
20,519.50,414.71
21,552.50,412.39
22,285.61,423.08
23,316.91,401.14
24,355.15,401.02
25,390.72,421.60
26,352.98,417.02
27,318.58,415.82
28,315.75,451.87
29,346.36,433.85
30,381.20,456.51
31,346.30,463.68
32,347.60,447.48
33,561.35,449.40
34,528.97,433.44
35,497.51,455.99
36,531.08,459.82
37,529.96,446.57
38,417.16,453.98
39,411.57,527.96
40,384.77,566.63
41,401.99,582.20
42,444.03,594.42
43,483.93,581.77
44,498.74,566.44
45,467.55,523.82
46,459.54,453.00
47,411.98,577.48
48,472.80,577.23
49,361.33,632.46
50,395.66,615.88
51,427.94,611.30
52,445.43,613.46
53,461.40,610.65
54,496.99,613.64
55,533.76,627.47
56,513.57,662.13
57,482.22,680.15
58,448.28,684.64
59,414.23,681.06
60,383.05,665.27
61,406.75,660.32
62,446.26,665.74
63,484.54,660.31
64,483.46,623.77
65,445.79,627.95
66,407.39,626.11
67,446.32,645.34
68,442.29,562.14
69,331.00,442.55
70,363.54,445.43
71,363.40,460.26
72,330.79,457.82
73,545.38,441.70
74,512.98,444.48
75,514.30,457.93
76,546.29,455.06
