facialLandmark,x,y
1,91.71,161.80
2,91.63,185.42
3,95.55,206.19
4,102.52,229.21
5,112.49,242.43
6,123.42,253.60
7,136.96,263.83
8,154.88,266.26
9,172.50,261.84
10,183.70,249.96
11,191.42,238.50
12,199.05,224.93
13,204.20,202.93
14,208.61,183.23
15,208.24,159.43
16,200.31,154.69
17,189.95,147.47
18,177.77,149.11
19,166.99,155.87
20,178.96,154.86
21,189.87,153.60
22,107.45,156.72
23,119.18,148.73
24,132.82,149.42
25,144.81,156.07
26,131.98,155.42
27,119.73,154.96
28,113.21,160.60
29,124.56,153.43
30,136.40,160.85
31,124.79,164.47
32,124.60,158.16
33,195.07,159.46
34,184.00,152.84
35,172.58,160.37
36,184.30,162.58
37,184.03,157.52
38,148.38,160.50
39,147.20,185.65
40,138.44,198.40
41,143.37,205.49
42,156.25,209.22
43,168.95,205.19
44,172.96,198.62
45,164.78,185.29
46,161.86,160.39
47,146.87,203.06
48,166.21,203.27
49,133.16,226.55
50,142.24,223.93
51,150.39,221.99
52,155.95,223.08
53,161.39,221.96
54,168.45,223.63
55,176.09,226.51
56,170.94,232.04
57,164.41,234.82
58,156.00,235.73
59,147.21,234.96
60,139.77,232.29
61,145.82,228.31
62,155.78,229.36
63,164.73,228.25
64,164.60,226.91
65,155.88,227.24
66,145.84,226.78
67,155.91,228.05
68,157.51,198.46
69,118.82,156.99
70,130.35,157.20
71,130.59,162.72
72,118.95,162.59
73,189.62,156.15
74,178.46,156.53
75,178.55,161.48
76,189.67,161.05
