facialLandmark,x,y
1,258.57,297.81
2,258.06,357.24
3,269.78,411.45
4,289.50,464.62
5,317.64,503.82
6,346.22,531.38
7,384.11,561.20
8,434.54,573.51
9,478.46,562.98
10,508.52,535.81
11,539.61,511.02
12,565.06,481.98
13,585.77,424.06
14,595.54,366.74
15,596.33,307.07
16,576.24,267.98
17,542.51,251.37
18,511.72,255.56
19,477.86,273.02
20,513.50,271.58
21,542.77,267.04
22,283.65,266.89
23,314.50,246.14
24,349.98,250.25
25,387.78,271.47
26,348.94,266.82
27,315.51,262.72
28,313.41,302.85
29,347.11,286.91
30,383.09,309.02
31,346.53,318.85
32,347.14,300.77
33,551.55,307.69
34,517.20,291.69
35,483.10,311.35
36,518.83,322.06
37,515.36,305.01
38,414.65,309.72
39,408.69,374.90
40,385.27,403.40
41,396.28,419.57
42,434.61,436.43
43,467.07,422.88
44,480.34,407.82
45,458.19,375.14
46,454.32,310.21
47,406.84,421.31
48,460.57,422.80
49,369.13,463.68
50,395.89,457.48
51,420.40,455.33
52,434.94,457.83
53,448.85,455.89
54,473.76,458.89
55,499.60,463.46
56,483.31,483.92
57,462.88,497.44
58,434.80,502.66
59,406.46,497.42
60,385.56,484.59
61,406.06,474.02
62,434.22,479.59
63,462.72,475.85
64,462.40,468.98
65,434.66,470.79
66,406.98,468.25
67,434.72,474.95
68,434.63,412.63
69,330.30,294.63
70,364.61,297.87
71,364.80,313.79
72,329.74,311.15
73,534.48,299.61
74,500.21,301.57
75,500.85,317.05
76,535.07,315.02
