facialLandmark,x,y
1,138.65,536.57
2,146.76,590.49
3,162.17,635.57
4,179.82,678.80
5,205.38,724.16
6,235.95,759.32
7,283.53,783.50
8,338.74,788.48
9,391.41,775.60
10,430.47,745.92
11,469.31,711.48
12,494.24,665.73
13,503.37,608.93
14,503.50,554.67
15,497.60,496.95
16,450.83,469.40
17,412.22,443.12
18,372.87,448.28
19,339.72,474.93
20,376.82,468.53
21,412.12,463.04
22,158.20,502.37
23,186.88,472.50
24,222.33,470.77
25,259.75,488.66
26,222.45,490.14
27,189.86,492.21
28,191.66,534.84
29,222.85,514.85
30,262.71,526.48
31,227.54,542.39
32,227.97,526.24
33,424.09,505.43
34,385.88,494.62
35,351.76,514.57
36,389.38,522.73
37,388.35,506.57
38,285.15,521.68
39,283.39,577.52
40,265.38,603.65
41,281.58,623.54
42,318.34,630.49
43,353.31,614.51
44,366.19,597.55
45,334.70,568.14
46,322.32,516.12
47,289.13,617.14
48,341.69,611.00
49,247.93,673.17
50,279.03,656.33
51,307.04,648.90
52,322.12,649.25
53,334.53,644.81
54,366.86,645.15
55,404.67,652.57
56,387.01,682.00
57,359.66,700.04
58,329.17,707.62
59,297.92,707.63
60,268.75,696.82
61,294.19,690.32
62,326.87,690.26
63,358.32,682.73
64,354.48,653.48
65,323.20,660.32
66,291.67,662.48
67,325.27,674.19
68,312.43,599.75
69,207.13,524.74
70,242.68,520.93
71,245.10,534.19
72,209.27,538.54
73,404.97,499.97
74,368.50,504.54
75,370.55,518.94
76,406.73,514.35
