facialLandmark,x,y
1,57.00,219.00
2,60.30,263.00
3,69.00,298.50
4,73.00,314.00
5,83.70,334.00
6,97.30,352.70
7,114.00,370.00
8,140.00,378.00
9,168.00,375.00
10,193.30,361.00
11,215.30,342.30
12,234.00,319.00
13,238.50,302.50
14,246.30,263.30
15,247.00,216.00
16,218.00,203.00
17,196.00,192.00
18,173.00,194.00
19,153.00,207.00
20,175.00,206.00
21,196.00,204.00
22,61.00,208.00
23,77.00,194.00
24,98.00,196.00
25,118.00,208.00
26,97.00,208.00
27,78.00,206.00
28,77.00,221.00
29,93.00,212.00
30,111.00,221.00
31,93.00,227.00
32,93.00,219.00
33,201.00,218.00
34,183.00,210.00
35,166.00,220.00
36,184.00,226.00
37,184.00,216.00
38,123.00,220.70
39,123.00,256.00
40,113.00,271.00
41,118.00,285.00
42,137.00,291.00
43,159.00,284.00
44,165.00,271.00
45,152.00,256.00
46,152.00,220.30
47,122.00,282.00
48,152.00,282.00
49,109.00,315.00
50,120.00,310.00
51,131.00,308.00
52,139.00,309.00
53,147.00,308.00
54,161.00,310.00
55,176.00,315.00
56,165.00,322.00
57,153.00,326.00
58,139.00,326.00
59,127.00,325.00
60,118.00,321.00
61,125.00,314.00
62,139.00,317.00
63,155.00,315.00
64,156.00,316.00
65,139.00,316.00
66,125.00,316.00
67,139.00,316.50
68,135.00,275.00
69,85.00,214.00
70,102.00,214.00
71,102.00,225.00
72,85.00,225.00
73,192.00,212.00
74,175.00,213.00
75,175.00,224.00
76,193.00,223.00
