facialLandmark,x,y
1,57.00,205.00
2,60.70,240.70
3,68.50,273.50
4,73.00,289.00
5,87.70,311.70
6,104.00,333.30
7,122.00,354.00
8,149.00,361.00
9,174.00,355.00
10,191.30,335.70
11,207.70,314.70
12,223.00,292.00
13,227.00,274.50
14,233.00,236.30
15,233.00,198.00
16,217.00,179.00
17,198.00,166.00
18,177.00,169.00
19,159.00,182.00
20,179.00,180.00
21,198.00,177.00
22,68.00,189.00
23,84.00,174.00
24,105.00,174.00
25,124.00,185.00
26,105.00,185.00
27,85.00,185.00
28,85.00,206.00
29,101.00,198.00
30,118.00,206.00
31,101.00,212.00
32,101.00,204.00
33,200.00,199.00
34,184.00,193.00
35,167.00,202.00
36,185.00,207.00
37,184.00,199.00
38,131.00,204.70
39,131.00,237.00
40,119.00,253.00
41,126.00,262.00
42,146.00,270.00
43,166.00,260.00
44,172.00,250.00
45,157.00,235.00
46,157.00,203.30
47,131.00,262.00
48,160.00,261.00
49,108.00,287.00
50,123.00,280.00
51,138.00,279.00
52,146.00,280.00
53,154.00,278.00
54,169.00,278.00
55,185.00,282.00
56,178.00,301.00
57,165.00,312.00
58,148.00,317.00
59,131.00,314.00
60,117.00,304.00
61,129.00,301.00
62,148.00,305.00
63,166.00,299.00
64,164.00,284.00
65,146.00,287.00
66,128.00,286.00
67,147.00,296.00
68,145.00,257.00
69,93.00,200.00
70,110.00,200.00
71,110.00,210.00
72,93.00,210.00
73,192.00,195.00
74,176.00,196.00
75,176.00,205.00
76,193.00,204.00
