facialLandmark,x,y
1,56.48,135.59
2,54.90,155.62
3,55.45,173.56
4,58.18,193.86
5,68.19,216.69
6,83.42,232.27
7,103.09,240.66
8,124.77,242.74
9,144.84,237.23
10,160.56,224.26
11,172.73,209.98
12,180.66,187.23
13,180.72,169.14
14,181.75,152.14
15,181.79,131.26
16,168.24,120.60
17,158.37,113.28
18,147.68,113.44
19,137.60,119.69
20,148.35,120.50
21,157.84,120.37
22,72.74,120.95
23,83.22,112.89
24,94.83,112.71
25,107.18,119.46
26,94.71,119.96
27,84.23,120.19
28,81.99,134.54
29,91.83,129.48
30,103.17,134.50
31,92.57,137.57
32,92.60,133.24
33,161.19,132.75
34,151.01,128.23
35,140.25,133.33
36,151.31,135.39
37,150.90,132.10
38,116.03,133.33
39,114.39,153.61
40,104.63,165.98
41,109.88,173.53
42,125.09,176.62
43,136.32,172.59
44,141.99,166.28
45,133.37,153.15
46,129.80,133.12
47,114.41,171.43
48,134.45,171.11
49,99.99,191.61
50,110.85,187.40
51,120.37,186.10
52,125.30,186.76
53,130.00,185.77
54,137.18,186.35
55,144.25,189.83
56,138.58,193.70
57,132.37,195.57
58,124.54,196.29
59,115.61,196.34
60,107.42,195.33
61,115.28,191.87
62,124.87,192.29
63,134.26,190.70
64,134.33,189.39
65,125.23,190.46
66,115.09,190.27
67,125.00,191.00
68,125.24,165.50
69,86.75,132.00
70,97.41,131.94
71,97.94,136.02
72,87.28,136.08
73,156.17,130.54
74,145.72,130.73
75,145.74,134.46
76,156.12,134.22
