facialLandmark,x,y
1,47.00,207.00
2,52.00,247.30
3,61.00,281.50
4,66.00,297.00
5,80.00,321.00
6,98.00,341.00
7,120.00,357.00
8,150.00,361.00
9,185.00,353.00
10,215.00,333.00
11,239.00,308.00
12,257.00,278.00
13,258.00,259.00
14,257.70,220.00
15,252.00,180.00
16,216.00,172.00
17,194.00,157.00
18,168.00,158.00
19,147.00,172.00
20,170.00,170.00
21,193.00,169.00
22,52.00,194.00
23,65.00,175.00
24,85.00,170.00
25,107.00,179.00
26,87.00,183.00
27,68.00,186.00
28,70.00,205.00
29,85.00,193.00
30,104.00,201.00
31,87.00,208.00
32,88.00,200.00
33,200.00,187.00
34,181.00,180.00
35,164.00,192.00
36,183.00,195.00
37,184.00,187.00
38,115.00,198.00
39,115.00,227.00
40,101.00,249.00
41,108.00,260.00
42,133.00,264.00
43,162.00,253.00
44,168.00,240.00
45,145.00,224.00
46,145.00,195.00
47,114.00,257.00
48,150.00,251.00
49,96.00,296.00
50,110.00,286.00
51,126.00,281.00
52,137.00,282.00
53,147.00,278.00
54,168.00,277.00
55,193.00,282.00
56,181.00,299.00
57,164.00,311.00
58,143.00,316.00
59,124.00,316.00
60,108.00,310.00
61,119.00,303.00
62,141.00,303.00
63,165.00,297.00
64,162.00,284.00
65,139.00,289.00
66,118.00,291.00
67,140.00,296.00
68,127.00,246.00
69,78.00,197.00
70,95.00,195.00
71,96.00,205.00
72,79.00,207.00
73,191.00,182.00
74,173.00,184.00
75,174.00,194.00
76,192.00,192.00
