facialLandmark,x,y
1,19.00,59.00
2,15.70,74.70
3,15.00,87.00
4,15.00,92.00
5,17.70,104.00
6,22.30,115.00
7,29.00,125.00
8,40.00,131.00
9,50.00,132.00
10,60.70,126.70
11,70.30,119.70
12,79.00,111.00
13,82.00,105.50
14,88.30,92.00
15,92.00,75.00
16,87.00,66.00
17,80.00,59.00
18,71.00,59.00
19,62.00,63.00
20,71.00,64.00
21,79.00,64.00
22,24.00,54.00
23,33.00,50.00
24,42.00,53.00
25,49.00,61.00
26,41.00,58.00
27,32.00,55.00
28,30.00,63.00
29,38.00,61.00
30,44.00,66.00
31,37.00,66.00
32,37.00,63.00
33,79.00,72.00
34,73.00,68.00
35,65.00,70.00
36,72.00,73.00
37,72.00,70.00
38,47.00,67.30
39,47.00,79.00
40,41.00,83.00
41,41.00,89.00
42,49.00,94.00
43,59.00,92.00
44,61.00,87.00
45,58.00,81.00
46,58.00,68.70
47,44.00,89.00
48,56.00,92.00
49,31.00,97.00
50,38.00,97.00
51,45.00,98.00
52,48.00,99.00
53,52.00,99.00
54,58.00,101.00
55,64.00,104.00
56,58.00,107.00
57,52.00,108.00
58,46.00,107.00
59,40.00,105.00
60,35.00,101.00
61,39.00,101.00
62,47.00,104.00
63,55.00,104.00
64,55.00,102.00
65,47.00,102.00
66,40.00,99.00
67,47.00,103.00
68,51.00,88.00
69,34.00,61.00
70,41.00,63.00
71,40.00,67.00
72,33.00,65.00
73,76.00,69.00
74,69.00,68.00
75,68.00,72.00
76,75.00,73.00
