facialLandmark,x,y
1,23.00,81.00
2,23.70,97.70
3,26.00,109.50
4,27.00,114.00
5,32.30,124.00
6,39.30,132.70
7,48.00,140.00
8,58.00,142.00
9,70.00,140.00
10,80.00,132.70
11,88.00,123.70
12,94.00,113.00
13,95.00,108.00
14,96.70,95.00
15,96.00,79.00
16,88.00,70.00
17,80.00,66.00
18,71.00,67.00
19,63.00,73.00
20,72.00,71.00
21,80.00,70.00
22,26.00,72.00
23,33.00,67.00
24,41.00,68.00
25,48.00,74.00
26,40.00,73.00
27,33.00,71.00
28,33.00,81.00
29,40.00,77.00
30,47.00,81.00
31,40.00,83.00
32,41.00,80.00
33,81.00,79.00
34,74.00,76.00
35,67.00,80.00
36,74.00,82.00
37,75.00,79.00
38,50.00,80.70
39,50.00,93.00
40,45.00,98.00
41,47.00,103.00
42,56.00,106.00
43,65.00,102.00
44,67.00,97.00
45,61.00,92.00
46,61.00,80.30
47,50.00,102.00
48,62.00,102.00
49,40.00,113.00
50,47.00,111.00
51,52.00,110.00
52,56.00,111.00
53,59.00,110.00
54,66.00,110.00
55,75.00,111.00
56,69.00,115.00
57,63.00,118.00
58,57.00,119.00
59,50.00,119.00
60,45.00,117.00
61,49.00,115.00
62,57.00,116.00
63,65.00,115.00
64,64.00,112.00
65,56.00,113.00
66,49.00,113.00
67,56.50,114.50
68,55.00,99.00
69,36.00,78.00
70,43.00,79.00
71,43.00,83.00
72,36.00,83.00
73,78.00,77.00
74,71.00,77.00
75,71.00,82.00
76,78.00,81.00
