facialLandmark,x,y
1,475.46,792.91
2,494.40,896.75
3,521.81,997.88
4,561.68,1100.19
5,617.87,1191.88
6,693.54,1258.33
7,792.84,1297.92
8,903.04,1299.83
9,994.47,1265.60
10,1063.96,1198.44
11,1113.47,1112.64
12,1142.75,1021.71
13,1154.08,889.42
14,1140.92,771.82
15,1112.62,661.42
16,1018.03,608.72
17,959.09,595.64
18,902.83,613.12
19,851.35,656.78
20,912.35,646.18
21,965.31,628.46
22,541.59,716.57
23,589.27,682.06
24,649.19,672.29
25,714.76,690.68
26,653.75,705.33
27,596.18,712.78
28,599.59,773.86
29,649.21,727.21
30,713.81,748.96
31,660.91,782.47
32,656.99,752.58
33,990.06,682.83
34,929.66,662.26
35,877.23,709.13
36,939.36,711.52
37,936.02,686.25
38,761.23,736.24
39,770.47,860.65
40,742.87,939.58
41,773.29,954.66
42,842.77,964.00
43,906.28,924.69
44,925.86,895.17
45,866.15,835.85
46,826.61,721.84
47,784.87,947.94
48,891.49,925.31
49,743.20,1081.54
50,782.30,1044.66
51,826.74,1030.23
52,854.29,1028.24
53,880.91,1018.67
54,927.10,1012.37
55,975.01,1030.52
56,948.51,1070.25
57,913.28,1093.59
58,868.89,1106.55
59,821.69,1112.94
60,777.68,1105.39
61,803.83,1086.39
62,865.54,1084.47
63,919.71,1062.24
64,913.94,1025.34
65,856.84,1043.37
66,796.82,1051.31
67,861.48,1063.34
68,835.64,920.48
69,623.96,749.92
70,680.90,738.18
71,687.28,765.73
72,630.24,778.17
73,960.65,671.71
74,903.99,685.28
75,908.12,711.39
76,964.35,697.83
