facialLandmark,x,y
1,79.59,123.99
2,81.58,144.16
3,85.08,161.81
4,90.02,179.13
5,98.40,192.95
6,107.86,204.65
7,120.74,214.28
8,137.41,217.80
9,154.00,214.16
10,167.23,205.01
11,178.31,193.15
12,186.88,178.96
13,190.30,158.50
14,190.26,138.72
15,188.88,118.05
16,172.09,112.56
17,160.59,106.02
18,148.92,107.44
19,138.11,114.75
20,150.03,112.32
21,160.48,111.24
22,88.40,117.78
23,97.13,111.24
24,106.54,111.86
25,116.69,116.89
26,106.06,116.46
27,97.45,116.40
28,97.08,124.69
29,105.08,120.73
30,114.85,124.26
31,105.55,127.38
32,105.90,123.52
33,163.34,119.83
34,153.46,117.33
35,144.19,122.00
36,153.86,123.29
37,154.16,120.01
38,123.10,124.58
39,122.35,145.20
40,116.12,155.22
41,119.73,161.07
42,132.12,166.03
43,143.72,159.44
44,146.93,152.30
45,137.90,143.74
46,134.09,123.69
47,122.34,161.47
48,140.31,160.34
49,112.36,176.88
50,120.68,171.93
51,128.71,170.81
52,133.33,171.23
53,137.77,170.21
54,146.66,170.34
55,155.92,174.98
56,152.16,184.32
57,144.14,188.93
58,135.08,190.22
59,125.86,189.53
60,117.35,185.49
61,124.81,184.52
62,134.61,185.99
63,143.93,183.99
64,143.07,173.67
65,133.78,175.08
66,124.35,174.97
67,134.16,179.89
68,130.43,158.62
69,100.92,122.67
70,109.90,122.61
71,110.14,125.82
72,101.25,125.96
73,158.44,118.58
74,148.80,119.58
75,148.96,122.76
76,158.60,121.59
