facialLandmark,x,y
1,679.18,937.52
2,671.12,1086.86
3,685.09,1219.93
4,710.35,1373.13
5,752.66,1488.18
6,819.92,1574.11
7,898.29,1645.23
8,1022.80,1677.57
9,1156.40,1655.85
10,1268.97,1582.43
11,1354.87,1497.82
12,1415.00,1370.81
13,1456.97,1251.18
14,1480.90,1129.32
15,1505.24,982.86
16,1363.77,931.68
17,1287.59,886.70
18,1202.49,888.46
19,1128.87,924.60
20,1204.99,937.69
21,1284.37,937.27
22,744.96,875.09
23,814.90,833.75
24,902.47,849.91
25,967.03,908.74
26,892.02,899.85
27,813.86,887.86
28,775.60,941.45
29,850.18,907.46
30,928.60,959.34
31,846.06,978.21
32,844.47,940.96
33,1326.52,986.62
34,1250.70,943.69
35,1169.56,981.60
36,1246.84,1018.20
37,1246.90,974.81
38,1000.85,966.37
39,969.02,1102.13
40,890.99,1181.68
41,923.53,1227.07
42,1023.76,1267.60
43,1127.96,1244.51
44,1172.02,1204.57
45,1105.53,1121.65
46,1096.80,974.83
47,944.28,1221.87
48,1102.15,1234.34
49,869.00,1352.98
50,927.07,1337.85
51,986.91,1337.93
52,1021.67,1345.94
53,1064.84,1343.37
54,1126.67,1350.08
55,1196.69,1373.32
56,1146.94,1408.04
57,1089.15,1423.94
58,1023.30,1422.76
59,968.21,1414.30
60,919.45,1390.78
61,948.17,1368.87
62,1023.44,1386.63
63,1107.22,1381.24
64,1108.03,1367.46
65,1022.59,1369.89
66,947.85,1357.19
67,1022.53,1379.11
68,1020.78,1209.62
69,812.76,924.42
70,889.19,933.33
71,888.12,968.73
72,811.62,960.66
73,1289.23,965.82
74,1210.67,962.91
75,1208.73,1000.33
76,1286.07,1003.47
