facialLandmark,x,y
1,325.19,207.47
2,324.99,248.77
3,326.58,285.48
4,335.93,322.81
5,358.22,361.02
6,386.15,384.38
7,422.36,401.78
8,460.93,407.79
9,499.71,400.76
10,529.47,382.67
11,549.80,353.32
12,563.78,318.41
13,572.10,281.87
14,575.09,246.41
15,573.71,205.78
16,550.74,190.91
17,529.00,175.35
18,501.75,178.13
19,479.76,194.01
20,503.93,191.51
21,528.46,189.74
22,370.92,193.42
23,393.01,179.78
24,416.46,180.64
25,438.96,193.51
26,415.76,193.95
27,393.75,192.68
28,386.77,209.62
29,406.32,201.41
30,427.28,209.90
31,407.12,216.42
32,406.77,207.42
33,533.02,208.30
34,512.93,200.09
35,492.03,209.52
36,512.90,215.24
37,513.54,206.59
38,447.31,208.75
39,442.54,250.76
40,424.42,272.26
41,433.86,284.90
42,462.74,293.01
43,486.42,285.30
44,496.25,274.27
45,478.78,248.69
46,471.75,208.14
47,442.02,282.77
48,482.38,282.64
49,413.56,318.67
50,433.44,308.49
51,452.13,306.88
52,463.25,308.02
53,473.28,306.26
54,490.50,308.35
55,505.00,318.68
56,496.47,334.41
57,481.45,343.15
58,463.75,345.37
59,443.70,343.68
60,425.43,335.18
61,440.03,326.66
62,463.48,331.15
63,486.02,327.31
64,485.52,314.07
65,463.30,315.47
66,440.08,314.25
67,463.66,322.43
68,463.01,277.30
69,396.31,205.44
70,416.66,205.75
71,417.12,213.29
72,396.87,213.16
73,523.10,204.10
74,502.62,204.53
75,502.56,212.27
76,522.88,211.70
