facialLandmark,x,y
1,490.34,407.28
2,492.30,470.33
3,505.60,527.60
4,522.82,589.06
5,545.64,638.42
6,575.86,681.06
7,618.32,712.78
8,677.11,726.93
9,736.19,718.07
10,787.18,690.83
11,830.30,654.66
12,860.27,597.62
13,877.24,527.72
14,882.59,463.65
15,879.06,395.44
16,821.44,353.02
17,779.70,328.78
18,736.46,332.67
19,698.61,356.80
20,740.00,352.78
21,778.24,346.82
22,500.50,357.45
23,532.40,333.37
24,572.80,336.97
25,611.93,361.46
26,569.97,355.86
27,532.95,351.43
28,531.58,407.41
29,565.12,386.07
30,603.99,408.43
31,566.28,421.64
32,570.85,401.98
33,794.29,399.05
34,756.33,382.22
35,719.76,404.58
36,757.69,410.85
37,759.60,396.83
38,635.07,401.71
39,627.93,476.66
40,607.48,510.48
41,623.99,533.21
42,660.91,541.38
43,704.70,530.68
44,720.58,512.05
45,688.06,473.57
46,679.46,400.09
47,630.73,524.64
48,688.85,523.10
49,603.71,595.92
50,624.95,580.09
51,647.00,573.41
52,663.19,574.32
53,679.84,572.25
54,709.89,577.21
55,745.02,589.51
56,722.16,605.68
57,697.67,612.60
58,668.71,616.70
59,643.86,614.69
60,623.21,609.08
61,636.06,596.18
62,666.20,599.73
63,697.72,595.16
64,697.57,588.73
65,664.60,590.38
66,635.82,591.03
67,665.94,594.84
68,656.10,504.94
69,548.20,396.79
70,584.61,397.44
71,585.23,415.04
72,548.94,414.53
73,775.39,390.63
74,738.20,393.15
75,738.88,408.15
76,775.95,405.35
