facialLandmark,x,y
1,365.34,741.91
2,372.17,885.74
3,397.31,1016.29
4,447.55,1156.35
5,513.86,1244.15
6,584.00,1311.47
7,670.41,1389.54
8,785.30,1423.32
9,896.91,1392.36
10,968.37,1319.93
11,1042.38,1260.51
12,1102.75,1186.64
13,1151.32,1043.69
14,1175.51,910.01
15,1178.62,767.08
16,1126.92,677.90
17,1045.20,623.65
18,955.38,633.99
19,869.77,685.07
20,961.81,675.47
21,1045.39,663.47
22,431.05,650.75
23,512.09,605.26
24,604.58,621.08
25,693.10,675.15
26,596.48,659.41
27,511.69,643.09
28,503.48,748.74
29,574.78,717.36
30,651.99,759.34
31,573.96,781.25
32,581.00,743.14
33,1058.72,766.40
34,988.67,732.38
35,911.56,768.07
36,988.61,791.65
37,991.90,758.21
38,734.90,753.22
39,723.86,896.74
40,658.59,968.12
41,695.15,1024.33
42,786.64,1049.68
43,870.79,1027.47
44,906.02,971.75
45,839.15,891.93
46,829.69,753.13
47,719.36,1012.67
48,850.33,1014.91
49,609.44,1133.79
50,680.68,1103.52
51,748.35,1096.43
52,787.45,1099.35
53,822.36,1096.47
54,887.29,1105.67
55,949.60,1132.43
56,911.31,1207.58
57,853.17,1251.25
58,783.06,1265.12
59,709.07,1252.76
60,646.04,1210.73
61,703.59,1195.77
62,784.57,1212.35
63,863.42,1195.07
64,861.65,1135.30
65,786.31,1139.54
66,706.55,1135.03
67,784.85,1174.17
68,787.08,983.74
69,538.77,732.79
70,613.41,739.38
71,613.30,770.54
72,538.65,765.30
73,1024.01,749.54
74,950.18,750.30
75,950.48,780.16
76,1024.22,778.80
