facialLandmark,x,y
1,378.00,463.00
2,374.00,604.70
3,389.00,728.50
4,398.00,781.00
5,442.70,851.70
6,500.00,914.00
7,570.00,968.00
8,656.00,983.00
9,733.00,962.00
10,784.30,904.70
11,826.00,840.00
12,858.00,768.00
13,867.00,722.00
14,885.30,613.30
15,890.00,482.00
16,875.00,434.00
17,831.00,408.00
18,782.00,414.00
19,733.00,444.00
20,786.00,444.00
21,832.00,439.00
22,451.00,418.00
23,508.00,392.00
24,568.00,400.00
25,622.00,435.00
26,562.00,430.00
27,507.00,424.00
28,499.00,467.00
29,547.00,447.00
30,593.00,477.00
31,543.00,489.00
32,542.00,466.00
33,830.00,484.00
34,789.00,460.00
35,741.00,485.00
36,787.00,501.00
37,784.00,479.00
38,639.00,479.70
39,639.00,585.00
40,597.00,637.00
41,614.00,673.00
42,676.00,698.00
43,731.00,680.00
44,747.00,643.00
45,718.00,589.00
46,718.00,482.30
47,635.00,668.00
48,722.00,674.00
49,546.00,761.00
50,602.00,756.00
51,647.00,756.00
52,672.00,763.00
53,698.00,758.00
54,732.00,763.00
55,765.00,773.00
56,737.00,800.00
57,704.00,812.00
58,663.00,814.00
59,619.00,807.00
60,580.00,790.00
61,613.00,784.00
62,666.00,794.00
63,715.00,788.00
64,716.00,773.00
65,669.00,775.00
66,615.00,767.00
67,667.50,784.50
68,687.00,651.00
69,523.00,454.00
70,569.00,456.00
71,568.00,484.00
72,521.00,483.00
73,809.00,466.00
74,765.00,468.00
75,764.00,497.00
76,809.00,495.00
