facialLandmark,x,y
1,34.00,62.00
2,28.30,83.70
3,27.00,103.50
4,27.00,112.00
5,33.70,128.00
6,42.30,142.70
7,53.00,156.00
8,68.00,162.00
9,81.00,161.00
10,91.00,152.30
11,100.00,142.00
12,108.00,130.00
13,112.00,122.50
14,120.00,105.70
15,125.00,86.00
16,126.00,75.00
17,119.00,67.00
18,110.00,66.00
19,100.00,70.00
20,109.00,72.00
21,118.00,73.00
22,49.00,56.00
23,61.00,52.00
24,73.00,55.00
25,82.00,64.00
26,71.00,60.00
27,60.00,57.00
28,56.00,67.00
29,66.00,64.00
30,74.00,72.00
31,64.00,72.00
32,65.00,68.00
33,117.00,84.00
34,111.00,77.00
35,101.00,79.00
36,109.00,84.00
37,109.00,80.00
38,81.00,74.30
39,81.00,88.00
40,72.00,94.00
41,75.00,101.00
42,84.00,106.00
43,92.00,106.00
44,96.00,100.00
45,93.00,91.00
46,93.00,76.70
47,79.00,100.00
48,91.00,103.00
49,60.00,116.00
50,69.00,112.00
51,78.00,112.00
52,82.00,113.00
53,86.00,114.00
54,91.00,118.00
55,93.00,125.00
56,89.00,133.00
57,83.00,137.00
58,75.00,137.00
59,67.00,133.00
60,61.00,126.00
61,69.00,126.00
62,77.00,130.00
63,85.00,130.00
64,87.00,120.00
65,80.00,118.00
66,71.00,115.00
67,78.50,124.00
68,88.00,98.00
69,61.00,65.00
70,70.00,67.00
71,69.00,72.00
72,60.00,70.00
73,114.00,79.00
74,106.00,77.00
75,104.00,82.00
76,113.00,84.00
