facialLandmark,x,y
1,32.00,98.00
2,34.00,123.30
3,39.50,146.00
4,43.00,156.00
5,52.30,168.70
6,63.70,179.30
7,77.00,188.00
8,93.00,191.00
9,106.00,187.00
10,113.30,178.30
11,120.30,168.30
12,127.00,157.00
13,130.00,146.50
14,135.70,124.00
15,139.00,99.00
16,136.00,92.00
17,127.00,86.00
18,117.00,88.00
19,106.00,95.00
20,117.00,94.00
21,127.00,93.00
22,50.00,94.00
23,62.00,87.00
24,76.00,88.00
25,88.00,95.00
26,75.00,95.00
27,62.00,94.00
28,62.00,99.00
29,72.00,95.00
30,81.00,100.00
31,71.00,103.00
32,71.00,99.00
33,125.00,99.00
34,117.00,95.00
35,108.00,100.00
36,117.00,103.00
37,117.00,98.00
38,91.00,100.00
39,91.00,119.00
40,83.00,130.00
41,87.00,136.00
42,98.00,140.00
43,107.00,137.00
44,110.00,130.00
45,105.00,119.00
46,105.00,100.00
47,91.00,135.00
48,106.00,135.00
49,76.00,154.00
50,85.00,152.00
51,93.00,151.00
52,98.00,152.00
53,102.00,151.00
54,107.00,152.00
55,111.00,155.00
56,107.00,160.00
57,102.00,163.00
58,96.00,164.00
59,88.00,163.00
60,81.00,159.00
61,87.00,157.00
62,96.00,159.00
63,104.00,157.00
64,104.00,154.00
65,97.00,155.00
66,88.00,154.00
67,96.50,157.00
68,101.00,131.00
69,67.00,97.00
70,76.00,97.00
71,76.00,102.00
72,67.00,102.00
73,121.00,96.00
74,113.00,97.00
75,113.00,102.00
76,121.00,102.00
