facialLandmark,x,y
1,22.00,89.00
2,27.30,107.00
3,32.50,120.50
4,35.00,126.00
5,42.30,134.70
6,50.70,142.00
7,60.00,148.00
8,72.00,149.00
9,84.00,144.00
10,92.00,135.30
11,98.30,125.30
12,103.00,114.00
13,103.50,107.00
14,103.30,92.00
15,101.00,74.00
16,91.00,65.00
17,82.00,61.00
18,73.00,64.00
19,66.00,71.00
20,74.00,68.00
21,82.00,65.00
22,25.00,79.00
23,31.00,71.00
24,40.00,70.00
25,49.00,74.00
26,40.00,74.00
27,32.00,75.00
28,34.00,87.00
29,41.00,82.00
30,49.00,85.00
31,42.00,89.00
32,42.00,85.00
33,87.00,77.00
34,79.00,75.00
35,72.00,81.00
36,81.00,82.00
37,80.00,78.00
38,56.00,83.70
39,56.00,97.00
40,52.00,106.00
41,55.00,109.00
42,65.00,110.00
43,74.00,105.00
44,77.00,101.00
45,69.00,95.00
46,69.00,82.30
47,58.00,108.00
48,71.00,105.00
49,49.00,122.00
50,56.00,117.00
51,62.00,116.00
52,66.00,115.00
53,70.00,114.00
54,77.00,113.00
55,85.00,115.00
56,82.00,122.00
57,76.00,127.00
58,69.00,129.00
59,61.00,130.00
60,55.00,127.00
61,60.00,125.00
62,68.00,124.00
63,76.00,121.00
64,75.00,117.00
65,67.00,119.00
66,59.00,120.00
67,67.50,121.50
68,64.00,104.00
69,37.00,84.00
70,45.00,83.00
71,46.00,87.00
72,38.00,89.00
73,83.00,75.00
74,76.00,77.00
75,77.00,82.00
76,84.00,80.00
