facialLandmark,x,y
1,640.30,712.07
2,631.96,847.61
3,646.41,967.66
4,669.45,1093.58
5,726.92,1201.92
6,806.69,1263.33
7,899.80,1324.71
8,1008.87,1351.02
9,1113.78,1323.97
10,1187.23,1258.21
11,1244.00,1185.32
12,1282.42,1090.21
13,1311.62,994.24
14,1337.59,880.74
15,1343.61,749.03
16,1314.22,668.36
17,1241.98,632.47
18,1172.41,635.75
19,1099.55,674.62
20,1175.98,671.52
21,1243.85,665.71
22,715.31,624.00
23,794.50,592.03
24,873.19,603.67
25,948.97,652.97
26,867.31,638.63
27,793.31,625.30
28,766.22,711.37
29,835.69,679.37
30,908.49,729.38
31,834.11,745.52
32,834.85,709.62
33,1257.74,749.73
34,1190.11,709.66
35,1119.81,750.66
36,1192.66,773.54
37,1187.20,741.01
38,987.41,735.64
39,970.86,863.52
40,915.52,926.38
41,941.58,963.15
42,1026.37,1002.65
43,1099.30,976.82
44,1126.32,948.27
45,1079.59,867.99
46,1063.62,739.20
47,968.71,963.86
48,1082.89,973.55
49,848.47,1062.13
50,921.67,1039.25
51,990.22,1036.45
52,1024.43,1041.91
53,1057.46,1039.45
54,1113.52,1051.90
55,1164.52,1080.34
56,1132.14,1130.82
57,1084.30,1157.99
58,1019.86,1164.70
59,951.85,1152.05
60,892.80,1120.49
61,947.62,1113.11
62,1019.15,1127.44
63,1085.84,1121.79
64,1087.23,1068.90
65,1023.12,1068.93
66,950.25,1059.49
67,1020.88,1096.19
68,1033.86,937.59
69,800.49,695.54
70,871.45,703.93
71,871.13,737.48
72,799.42,728.78
73,1224.30,730.01
74,1154.95,730.35
75,1156.16,761.97
76,1224.80,761.94
