facialLandmark,x,y
1,202.00,182.00
2,204.30,220.70
3,211.50,257.00
4,216.00,274.00
5,232.00,293.30
6,251.00,310.00
7,273.00,324.00
8,301.00,327.00
9,322.00,321.00
10,333.30,305.70
11,343.30,289.00
12,352.00,271.00
13,356.00,253.00
14,362.70,217.00
15,364.00,183.00
16,360.00,169.00
17,347.00,160.00
18,332.00,162.00
19,318.00,172.00
20,333.00,172.00
21,347.00,171.00
22,228.00,172.00
23,244.00,161.00
24,264.00,162.00
25,283.00,170.00
26,264.00,171.00
27,246.00,171.00
28,245.00,182.00
29,260.00,176.00
30,274.00,184.00
31,259.00,189.00
32,259.00,181.00
33,348.00,183.00
34,336.00,177.00
35,321.00,184.00
36,336.00,189.00
37,335.00,182.00
38,291.00,184.00
39,291.00,214.00
40,277.00,233.00
41,285.00,242.00
42,306.00,247.00
43,321.00,243.00
44,327.00,233.00
45,315.00,213.00
46,315.00,184.00
47,292.00,239.00
48,319.00,240.00
49,270.00,271.00
50,285.00,266.00
51,298.00,265.00
52,305.00,266.00
53,312.00,265.00
54,320.00,267.00
55,327.00,272.00
56,321.00,279.00
57,313.00,283.00
58,303.00,284.00
59,290.00,283.00
60,279.00,278.00
61,289.00,273.00
62,303.00,275.00
63,315.00,273.00
64,316.00,272.00
65,304.00,272.00
66,289.00,271.00
67,303.50,273.50
68,309.00,234.00
69,253.00,178.00
70,267.00,178.00
71,267.00,187.00
72,253.00,187.00
73,342.00,178.00
74,329.00,179.00
75,329.00,187.00
76,342.00,187.00
