facialLandmark,x,y
1,41.00,119.00
2,46.00,151.00
3,52.50,173.00
4,55.00,181.00
5,67.00,194.30
6,81.70,204.70
7,99.00,212.00
8,118.00,213.00
9,135.00,207.00
10,144.30,195.00
11,152.00,182.30
12,158.00,169.00
13,159.00,159.50
14,160.00,136.00
15,157.00,106.00
16,152.00,92.00
17,141.00,86.00
18,129.00,89.00
19,119.00,99.00
20,130.00,95.00
21,141.00,92.00
22,54.00,105.00
23,67.00,95.00
24,81.00,94.00
25,95.00,101.00
26,81.00,101.00
27,68.00,101.00
28,68.00,116.00
29,79.00,109.00
30,91.00,115.00
31,80.00,121.00
32,80.00,114.00
33,145.00,107.00
34,133.00,102.00
35,123.00,111.00
36,135.00,114.00
37,134.00,108.00
38,103.00,113.70
39,103.00,139.00
40,96.00,151.00
41,100.00,156.00
42,115.00,160.00
43,127.00,154.00
44,130.00,147.00
45,121.00,136.00
46,121.00,112.30
47,105.00,155.00
48,124.00,153.00
49,87.00,175.00
50,100.00,171.00
51,110.00,169.00
52,116.00,169.00
53,121.00,168.00
54,130.00,168.00
55,139.00,169.00
56,133.00,176.00
57,125.00,180.00
58,116.00,183.00
59,105.00,183.00
60,96.00,181.00
61,104.00,177.00
62,116.00,176.00
63,126.00,174.00
64,126.00,172.00
65,116.00,174.00
66,104.00,174.00
67,116.00,175.00
68,116.00,150.00
69,73.00,111.00
70,85.00,110.00
71,86.00,119.00
72,74.00,120.00
73,139.00,103.00
74,128.00,105.00
75,129.00,113.00
76,140.00,111.00
