facialLandmark,x,y
1,382.95,1414.70
2,427.45,1597.38
3,482.57,1766.21
4,571.75,1937.34
5,661.83,2080.60
6,786.25,2210.90
7,941.40,2297.31
8,1135.17,2311.40
9,1294.27,2249.28
10,1400.56,2126.37
11,1470.18,2002.45
12,1532.69,1838.51
13,1571.65,1607.36
14,1580.85,1407.36
15,1563.34,1191.47
16,1418.06,1109.27
17,1305.73,1083.46
18,1179.34,1127.89
19,1084.34,1214.00
20,1198.83,1187.40
21,1314.19,1149.17
22,514.92,1302.51
23,618.17,1241.38
24,736.43,1231.95
25,863.48,1275.34
26,743.45,1296.72
27,628.40,1304.10
28,602.77,1394.23
29,694.33,1325.43
30,809.40,1357.09
31,712.00,1413.81
32,703.92,1364.30
33,1352.72,1228.30
34,1245.98,1201.45
35,1150.36,1277.44
36,1260.85,1292.13
37,1253.86,1240.25
38,920.61,1323.66
39,931.27,1536.11
40,856.23,1656.02
41,902.53,1710.40
42,1055.83,1742.05
43,1188.98,1650.41
44,1220.02,1598.62
45,1110.25,1499.93
46,1045.37,1300.39
47,940.47,1705.75
48,1154.78,1664.70
49,846.92,1912.00
50,933.72,1886.09
51,1015.74,1870.24
52,1072.20,1868.42
53,1127.35,1851.95
54,1205.37,1833.49
55,1291.14,1825.34
56,1229.86,1890.43
57,1163.91,1933.51
58,1082.26,1958.88
59,992.25,1965.85
60,915.79,1948.24
61,963.43,1906.03
62,1078.24,1907.72
63,1182.95,1863.12
64,1184.22,1859.69
65,1074.55,1894.60
66,962.26,1904.46
67,1077.14,1899.40
68,1047.22,1669.68
69,647.92,1358.93
70,751.05,1341.55
71,761.18,1385.57
72,657.91,1404.78
73,1300.85,1214.43
74,1200.15,1238.75
75,1206.14,1285.54
76,1305.89,1261.49
