facialLandmark,x,y
1,85.81,277.02
2,92.55,309.82
3,102.85,338.38
4,117.89,366.30
5,132.94,391.80
6,152.61,412.02
7,178.32,421.63
8,209.99,422.40
9,239.80,412.68
10,266.47,395.40
11,286.57,372.47
12,297.01,337.46
13,298.45,296.55
14,293.62,262.65
15,285.15,226.95
16,244.81,214.44
17,221.89,209.83
18,199.01,216.47
19,180.68,231.22
20,202.42,227.37
21,223.51,220.99
22,92.25,254.49
23,106.35,242.27
24,122.82,239.52
25,144.59,243.75
26,125.32,249.74
27,108.62,252.91
28,113.36,272.87
29,125.86,260.73
30,145.29,264.06
31,130.00,275.35
32,128.55,266.81
33,231.46,240.04
34,212.23,236.48
35,195.43,248.78
36,216.19,254.32
37,214.05,242.83
38,159.17,261.50
39,161.87,295.07
40,157.30,317.67
41,168.06,329.13
42,183.62,326.53
43,198.85,320.23
44,206.77,305.32
45,189.68,288.25
46,178.16,256.73
47,168.40,322.38
48,193.74,314.88
49,169.40,364.46
50,174.77,356.20
51,182.20,351.15
52,190.09,349.37
53,198.51,346.84
54,210.52,346.24
55,222.90,349.24
56,216.65,359.26
57,208.46,366.67
58,195.89,372.53
59,183.11,373.47
60,174.91,370.43
61,180.29,360.58
62,193.53,359.89
63,208.29,352.84
64,207.69,350.53
65,191.79,354.97
66,179.75,358.79
67,192.54,356.75
68,176.47,310.81
69,119.42,266.88
70,135.62,262.50
71,137.77,269.59
72,121.79,274.10
73,222.14,238.13
74,203.90,242.44
75,205.78,251.81
76,223.69,247.09
