facialLandmark,x,y
1,326.69,174.67
2,329.64,206.27
3,335.18,232.49
4,343.36,262.76
5,356.98,284.19
6,370.95,301.75
7,388.66,320.19
8,414.08,327.53
9,438.67,322.30
10,455.63,306.69
11,470.65,289.76
12,482.55,269.52
13,490.65,236.06
14,495.03,207.56
15,497.32,176.37
16,479.08,162.72
17,461.68,155.05
18,444.40,158.04
19,427.99,167.12
20,445.58,167.23
21,461.70,164.92
22,342.44,160.84
23,358.27,153.76
24,375.10,157.04
25,391.78,166.65
26,373.93,166.10
27,358.03,163.39
28,354.87,176.35
29,369.80,170.03
30,387.43,178.22
31,370.34,183.13
32,370.52,175.03
33,467.20,177.30
34,450.73,171.36
35,433.97,178.70
36,451.08,182.72
37,451.33,176.44
38,400.75,180.11
39,397.50,214.67
40,385.23,230.06
41,392.13,240.10
42,412.24,247.21
43,428.86,241.05
44,436.88,232.51
45,423.23,213.62
46,420.08,179.86
47,396.51,240.03
48,425.90,240.09
49,380.40,261.43
50,394.51,259.36
51,406.10,259.11
52,413.44,260.74
53,420.04,258.95
54,432.01,259.68
55,445.47,261.17
56,437.38,272.17
57,427.00,279.05
58,414.01,281.15
59,400.16,279.07
60,389.20,272.34
61,399.36,266.94
62,413.73,269.84
63,427.99,267.71
64,427.71,265.59
65,413.63,267.53
66,399.77,265.72
67,413.76,268.20
68,411.03,235.30
69,362.31,173.10
70,378.60,174.17
71,378.88,180.69
72,362.59,179.86
73,459.02,174.41
74,442.44,174.95
75,442.50,180.81
76,458.98,180.13
