facialLandmark,x,y
1,693.18,568.39
2,692.20,663.93
3,695.72,749.05
4,710.56,842.19
5,756.46,927.96
6,825.87,977.81
7,905.96,1019.98
8,992.06,1037.80
9,1075.85,1018.63
10,1133.19,971.66
11,1168.30,915.53
12,1191.81,845.15
13,1211.10,766.20
14,1224.51,684.87
15,1224.38,589.56
16,1192.17,539.49
17,1149.35,513.09
18,1104.55,512.51
19,1062.27,539.70
20,1106.18,542.13
21,1148.67,541.97
22,787.44,520.33
23,837.32,497.74
24,893.41,497.83
25,945.29,526.38
26,891.93,525.44
27,839.51,522.70
28,822.14,570.66
29,867.52,545.75
30,914.48,581.55
31,866.81,593.54
32,869.56,567.17
33,1162.47,589.16
34,1122.42,560.96
35,1078.24,593.81
36,1124.26,607.64
37,1124.53,583.73
38,972.85,585.71
39,962.38,686.56
40,922.89,726.75
41,947.78,761.85
42,1011.70,783.27
43,1065.50,768.24
44,1084.31,744.49
45,1047.39,680.42
46,1032.64,586.21
47,965.53,755.95
48,1055.67,760.83
49,878.95,830.37
50,932.84,814.70
51,981.47,813.42
52,1007.83,818.48
53,1032.36,814.11
54,1073.38,821.98
55,1110.72,836.31
56,1083.87,870.26
57,1049.61,889.98
58,1006.15,895.20
59,956.51,888.30
60,912.80,867.07
61,947.89,846.24
62,1005.04,855.45
63,1058.00,850.49
64,1058.19,839.11
65,1006.44,840.03
66,949.02,834.12
67,1005.88,848.32
68,1017.77,740.28
69,844.39,557.97
70,890.76,563.83
71,890.53,587.96
72,844.28,582.52
73,1142.88,575.32
74,1100.65,576.81
75,1101.87,600.57
76,1143.32,598.95
