facialLandmark,x,y
1,36.00,71.00
2,35.30,87.70
3,37.50,100.50
4,39.00,106.00
5,41.70,113.30
6,45.00,121.30
7,49.00,130.00
8,58.00,134.00
9,68.00,135.00
10,78.70,130.30
11,88.70,124.00
12,98.00,116.00
13,101.00,110.50
14,106.70,97.70
15,111.00,80.00
16,98.00,73.00
17,90.00,67.00
18,81.00,67.00
19,73.00,70.00
20,81.00,71.00
21,89.00,72.00
22,38.00,67.00
23,44.00,62.00
24,52.00,63.00
25,59.00,69.00
26,51.00,68.00
27,44.00,67.00
28,43.00,73.00
29,49.00,71.00
30,55.00,75.00
31,49.00,75.00
32,49.00,73.00
33,91.00,78.00
34,84.00,75.00
35,78.00,77.00
36,84.00,80.00
37,84.00,77.00
38,58.00,75.70
39,58.00,86.00
40,52.00,91.00
41,53.00,96.00
42,61.00,100.00
43,72.00,98.00
44,74.00,93.00
45,69.00,88.00
46,69.00,76.30
47,55.00,96.00
48,68.00,98.00
49,47.00,105.00
50,52.00,104.00
51,58.00,104.00
52,61.00,105.00
53,64.00,105.00
54,71.00,106.00
55,79.00,109.00
56,74.00,115.00
57,67.00,118.00
58,60.00,118.00
59,54.00,116.00
60,49.00,112.00
61,53.00,111.00
62,60.00,113.00
63,68.00,113.00
64,69.00,108.00
65,61.00,108.00
66,54.00,106.00
67,60.50,110.50
68,61.00,95.00
69,46.00,71.00
70,52.00,72.00
71,52.00,75.00
72,46.00,74.00
73,88.00,76.00
74,81.00,75.00
75,81.00,79.00
76,87.00,80.00
