facialLandmark,x,y
1,29.00,71.00
2,31.70,86.30
3,35.00,98.00
4,37.00,103.00
5,43.00,113.00
6,50.30,121.30
7,59.00,128.00
8,70.00,130.00
9,82.00,127.00
10,93.30,118.30
11,102.70,107.30
12,110.00,94.00
13,110.00,87.50
14,109.30,73.70
15,107.00,58.00
16,91.00,53.00
17,81.00,48.00
18,72.00,49.00
19,65.00,56.00
20,73.00,55.00
21,82.00,53.00
22,30.00,64.00
23,34.00,57.00
24,43.00,55.00
25,51.00,59.00
26,43.00,60.00
27,36.00,62.00
28,38.00,70.00
29,43.00,66.00
30,50.00,68.00
31,44.00,71.00
32,44.00,69.00
33,86.00,62.00
34,79.00,60.00
35,73.00,64.00
36,80.00,65.00
37,80.00,62.00
38,55.00,66.70
39,55.00,78.00
40,50.00,85.00
41,53.00,90.00
42,63.00,91.00
43,73.00,86.00
44,75.00,81.00
45,67.00,77.00
46,67.00,65.30
47,55.00,89.00
48,69.00,87.00
49,50.00,102.00
50,55.00,99.00
51,60.00,97.00
52,64.00,98.00
53,68.00,96.00
54,75.00,95.00
55,84.00,96.00
56,79.00,100.00
57,72.00,103.00
58,65.00,104.00
59,60.00,105.00
60,54.00,104.00
61,57.00,101.00
62,65.00,101.00
63,73.00,99.00
64,73.00,98.00
65,65.00,100.00
66,57.00,101.00
67,65.00,100.50
68,60.00,86.00
69,40.00,68.00
70,47.00,67.00
71,47.00,70.00
72,41.00,71.00
73,82.00,60.00
74,76.00,61.00
75,76.00,65.00
76,83.00,64.00
