facialLandmark,x,y
1,504.00,635.00
2,492.70,743.70
3,500.00,849.00
4,506.00,897.00
5,533.30,956.30
6,570.00,1013.00
7,616.00,1067.00
8,687.00,1090.00
9,755.00,1085.00
10,807.00,1045.70
11,852.70,1000.70
12,892.00,950.00
13,907.50,907.50
14,937.70,808.30
15,954.00,693.00
16,934.00,663.00
17,896.00,616.00
18,840.00,609.00
19,783.00,633.00
20,839.00,643.00
21,888.00,650.00
22,535.00,613.00
23,583.00,575.00
24,639.00,583.00
25,689.00,619.00
26,633.00,616.00
27,583.00,611.00
28,580.00,647.00
29,620.00,632.00
30,659.00,659.00
31,616.00,666.00
32,615.00,647.00
33,877.00,685.00
34,840.00,660.00
35,797.00,678.00
36,837.00,695.00
37,835.00,676.00
38,691.00,665.30
39,691.00,737.00
40,643.00,780.00
41,654.00,819.00
42,717.00,841.00
43,781.00,834.00
44,798.00,798.00
45,762.00,747.00
46,762.00,671.70
47,676.00,812.00
48,762.00,823.00
49,610.00,908.00
50,652.00,890.00
51,690.00,887.00
52,711.00,897.00
53,735.00,893.00
54,769.00,906.00
55,802.00,932.00
56,778.00,963.00
57,743.00,979.00
58,702.00,978.00
59,662.00,968.00
60,630.00,943.00
61,661.00,927.00
62,706.00,941.00
63,751.00,939.00
64,752.00,925.00
65,709.00,921.00
66,663.00,914.00
67,707.50,931.00
68,723.00,796.00
69,601.00,635.00
70,640.00,641.00
71,637.00,665.00
72,597.00,659.00
73,859.00,669.00
74,819.00,665.00
75,817.00,689.00
76,856.00,693.00
