facialLandmark,x,y
1,181.00,127.00
2,181.00,161.30
3,185.00,190.50
4,187.00,203.00
5,198.30,223.70
6,212.70,240.70
7,230.00,254.00
8,252.00,257.00
9,274.00,253.00
10,290.70,238.30
11,303.70,221.30
12,313.00,202.00
13,315.00,189.00
14,318.30,160.00
15,317.00,127.00
16,307.00,114.00
17,293.00,103.00
18,276.00,104.00
19,262.00,114.00
20,278.00,113.00
21,293.00,112.00
22,195.00,115.00
23,209.00,104.00
24,226.00,104.00
25,241.00,114.00
26,225.00,113.00
27,210.00,113.00
28,206.00,127.00
29,219.00,119.00
30,232.00,127.00
31,219.00,132.00
32,219.00,125.00
33,297.00,126.00
34,284.00,118.00
35,271.00,127.00
36,285.00,131.00
37,285.00,124.00
38,241.00,127.00
39,241.00,150.00
40,230.00,165.00
41,235.00,175.00
42,252.00,178.00
43,268.00,175.00
44,272.00,165.00
45,262.00,150.00
46,262.00,127.00
47,241.00,171.00
48,263.00,171.00
49,223.00,204.00
50,234.00,196.00
51,245.00,193.00
52,252.00,195.00
53,258.00,193.00
54,269.00,196.00
55,279.00,203.00
56,272.00,210.00
57,263.00,213.00
58,252.00,214.00
59,240.00,214.00
60,231.00,210.00
61,239.00,205.00
62,252.00,206.00
63,264.00,204.00
64,265.00,201.00
65,252.00,201.00
66,239.00,201.00
67,252.00,203.50
68,252.00,163.00
69,212.00,121.00
70,225.00,121.00
71,225.00,131.00
72,212.00,130.00
73,291.00,121.00
74,278.00,121.00
75,278.00,130.00
76,291.00,130.00
