facialLandmark,x,y
1,94.00,225.00
2,95.00,267.30
3,99.50,299.50
4,102.00,313.00
5,114.70,336.30
6,131.00,357.00
7,151.00,375.00
8,180.00,382.00
9,209.00,378.00
10,233.70,362.00
11,254.00,341.30
12,270.00,316.00
13,274.00,302.50
14,280.70,271.00
15,283.00,232.00
16,264.00,213.00
17,244.00,203.00
18,224.00,205.00
19,205.00,216.00
20,225.00,213.00
21,244.00,211.00
22,103.00,208.00
23,121.00,197.00
24,142.00,200.00
25,162.00,213.00
26,140.00,209.00
27,121.00,206.00
28,123.00,226.00
29,140.00,218.00
30,158.00,229.00
31,139.00,233.00
32,141.00,225.00
33,248.00,232.00
34,231.00,223.00
35,212.00,232.00
36,230.00,238.00
37,230.00,230.00
38,169.00,230.00
39,169.00,260.00
40,156.00,276.00
41,162.00,284.00
42,182.00,294.00
43,203.00,286.00
44,211.00,278.00
45,197.00,261.00
46,197.00,231.00
47,167.00,284.00
48,197.00,285.00
49,136.00,306.00
50,155.00,303.00
51,173.00,303.00
52,182.00,304.00
53,191.00,304.00
54,209.00,305.00
55,229.00,309.00
56,217.00,326.00
57,200.00,334.00
58,181.00,336.00
59,163.00,333.00
60,147.00,323.00
61,161.00,323.00
62,182.00,327.00
63,203.00,325.00
64,203.00,308.00
65,182.00,309.00
66,161.00,307.00
67,182.00,318.00
68,182.00,279.00
69,131.00,220.00
70,149.00,221.00
71,149.00,232.00
72,131.00,231.00
73,239.00,225.00
74,221.00,225.00
75,221.00,236.00
76,239.00,236.00
