facialLandmark,x,y
1,42.00,114.00
2,44.00,141.00
3,49.50,163.00
4,53.00,173.00
5,61.70,183.00
6,70.70,192.30
7,80.00,201.00
8,94.00,205.00
9,109.00,201.00
10,117.70,193.00
11,126.00,184.30
12,134.00,175.00
13,138.00,166.00
14,145.30,145.70
15,149.00,119.00
16,141.00,108.00
17,134.00,99.00
18,123.00,98.00
19,113.00,103.00
20,123.00,104.00
21,133.00,105.00
22,58.00,103.00
23,68.00,96.00
24,79.00,96.00
25,89.00,102.00
26,78.00,102.00
27,69.00,102.00
28,64.00,115.00
29,73.00,112.00
30,82.00,117.00
31,72.00,119.00
32,72.00,115.00
33,134.00,119.00
34,126.00,114.00
35,116.00,118.00
36,125.00,122.00
37,125.00,117.00
38,91.00,117.30
39,91.00,135.00
40,81.00,144.00
41,85.00,151.00
42,98.00,155.00
43,111.00,152.00
44,115.00,146.00
45,108.00,136.00
46,108.00,117.70
47,89.00,150.00
48,108.00,151.00
49,78.00,170.00
50,85.00,164.00
51,93.00,163.00
52,97.00,164.00
53,102.00,163.00
54,108.00,166.00
55,114.00,172.00
56,110.00,180.00
57,104.00,184.00
58,96.00,185.00
59,88.00,183.00
60,81.00,178.00
61,88.00,174.00
62,96.00,176.00
63,104.00,175.00
64,105.00,171.00
65,97.00,170.00
66,88.00,170.00
67,96.50,173.00
68,99.00,146.00
69,68.00,113.00
70,77.00,113.00
71,77.00,119.00
72,68.00,118.00
73,130.00,116.00
74,121.00,115.00
75,121.00,121.00
76,129.00,121.00
