facialLandmark,x,y
1,86.00,180.00
2,90.00,221.70
3,98.50,255.50
4,103.00,270.00
5,114.30,290.00
6,126.30,309.00
7,139.00,327.00
8,161.00,334.00
9,186.00,328.00
10,205.30,310.00
11,222.70,290.00
12,238.00,268.00
13,241.00,253.00
14,247.30,217.30
15,248.00,174.00
16,232.00,151.00
17,215.00,137.00
18,195.00,137.00
19,176.00,149.00
20,196.00,147.00
21,214.00,146.00
22,89.00,156.00
23,103.00,142.00
24,120.00,142.00
25,137.00,152.00
26,119.00,151.00
27,104.00,151.00
28,104.00,181.00
29,119.00,172.00
30,135.00,180.00
31,120.00,187.00
32,120.00,179.00
33,215.00,176.00
34,199.00,168.00
35,183.00,178.00
36,200.00,183.00
37,199.00,175.00
38,143.00,179.30
39,143.00,212.00
40,136.00,226.00
41,141.00,237.00
42,155.00,243.00
43,173.00,236.00
44,179.00,226.00
45,169.00,212.00
46,169.00,178.70
47,144.00,236.00
48,167.00,234.00
49,128.00,265.00
50,138.00,259.00
51,148.00,257.00
52,156.00,258.00
53,163.00,256.00
54,177.00,257.00
55,192.00,262.00
56,184.00,276.00
57,172.00,285.00
58,158.00,289.00
59,145.00,286.00
60,134.00,278.00
61,143.00,275.00
62,158.00,278.00
63,173.00,274.00
64,172.00,263.00
65,157.00,264.00
66,142.00,264.00
67,157.50,271.00
68,153.00,228.00
69,112.00,175.00
70,127.00,175.00
71,128.00,185.00
72,112.00,185.00
73,207.00,171.00
74,191.00,171.00
75,191.00,181.00
76,207.00,181.00
