facialLandmark,x,y
1,81.00,184.00
2,83.70,226.00
3,91.50,261.50
4,96.00,277.00
5,113.30,297.70
6,132.30,316.00
7,153.00,332.00
8,179.00,335.00
9,203.00,327.00
10,215.70,307.70
11,226.30,288.00
12,235.00,268.00
13,238.00,253.50
14,243.00,221.00
15,244.00,182.00
16,240.00,164.00
17,226.00,154.00
18,209.00,155.00
19,193.00,165.00
20,210.00,164.00
21,225.00,162.00
22,102.00,165.00
23,120.00,154.00
24,138.00,154.00
25,156.00,164.00
26,138.00,163.00
27,120.00,162.00
28,119.00,183.00
29,135.00,175.00
30,151.00,185.00
31,135.00,190.00
32,135.00,182.00
33,225.00,183.00
34,211.00,176.00
35,195.00,185.00
36,212.00,190.00
37,210.00,182.00
38,165.00,185.00
39,165.00,219.00
40,153.00,236.00
41,160.00,243.00
42,180.00,251.00
43,195.00,243.00
44,202.00,236.00
45,190.00,218.00
46,190.00,185.00
47,166.00,243.00
48,193.00,243.00
49,138.00,267.00
50,156.00,261.00
51,171.00,260.00
52,179.00,261.00
53,186.00,259.00
54,199.00,260.00
55,211.00,266.00
56,205.00,282.00
57,194.00,293.00
58,179.00,296.00
59,163.00,293.00
60,148.00,284.00
61,161.00,282.00
62,179.00,285.00
63,195.00,281.00
64,194.00,265.00
65,178.00,267.00
66,161.00,266.00
67,178.50,276.00
68,182.00,238.00
69,127.00,178.00
70,143.00,178.00
71,143.00,188.00
72,127.00,188.00
73,218.00,178.00
74,203.00,179.00
75,203.00,189.00
76,219.00,187.00
