facialLandmark,x,y
1,81.70,92.42
2,80.14,109.05
3,81.07,124.72
4,83.73,141.49
5,90.42,154.15
6,99.89,164.53
7,110.88,173.36
8,124.41,176.85
9,139.65,173.62
10,151.43,164.26
11,161.13,154.45
12,168.54,141.01
13,171.47,126.55
14,173.75,112.11
15,174.15,95.58
16,167.28,88.90
17,159.25,81.05
18,149.45,80.67
19,139.90,85.99
20,149.77,85.74
21,158.53,85.84
22,88.46,84.50
23,96.84,77.76
24,107.02,78.21
25,116.87,84.41
26,106.33,83.09
27,97.33,82.52
28,96.94,92.26
29,105.43,87.66
30,114.25,93.90
31,105.05,95.73
32,106.33,91.31
33,159.16,95.49
34,151.01,90.09
35,142.09,95.36
36,150.98,98.23
37,151.24,93.92
38,122.61,93.96
39,120.67,109.17
40,112.64,117.63
41,116.59,123.95
42,126.77,127.64
43,137.23,124.97
44,141.59,120.66
45,133.92,109.33
46,133.17,94.36
47,119.25,122.71
48,134.56,123.72
49,105.55,136.80
50,114.31,132.95
51,122.43,132.38
52,126.33,133.19
53,130.27,132.68
54,138.06,134.22
55,145.98,138.67
56,141.18,146.81
57,133.80,150.92
58,125.65,151.63
59,117.50,150.18
60,110.04,145.51
61,116.99,145.10
62,125.73,146.78
63,134.77,145.72
64,134.91,136.67
65,126.27,136.98
66,117.48,135.85
67,126.07,141.56
68,127.35,119.22
69,101.14,89.91
70,109.73,90.80
71,109.59,94.86
72,100.95,93.99
73,155.14,92.77
74,146.57,92.66
75,146.55,96.84
76,155.05,96.91
