facialLandmark,x,y
1,118.91,249.42
2,114.93,296.59
3,119.48,340.39
4,127.43,382.61
5,143.93,420.59
6,167.17,448.27
7,197.21,475.48
8,237.61,488.85
9,278.31,480.07
10,311.11,455.26
11,339.97,431.07
12,362.48,396.03
13,377.20,355.86
14,385.07,310.57
15,388.12,260.26
16,357.37,226.67
17,328.09,210.03
18,298.89,211.53
19,272.56,228.12
20,300.67,227.17
21,328.35,224.62
22,131.32,215.08
23,157.24,199.73
24,185.91,204.11
25,213.78,225.31
26,183.32,218.92
27,156.47,214.03
28,148.85,249.69
29,175.82,235.39
30,204.78,254.03
31,175.17,261.48
32,176.99,247.84
33,338.59,258.69
34,311.15,242.63
35,282.67,258.28
36,311.37,267.47
37,311.30,255.11
38,229.02,258.08
39,220.54,300.02
40,200.47,320.44
41,210.09,335.68
42,239.54,350.56
43,269.48,338.86
44,282.07,329.83
45,260.82,300.97
46,257.54,259.00
47,216.01,337.21
48,262.07,339.41
49,174.70,373.31
50,200.41,360.86
51,226.87,360.01
52,239.17,361.27
53,251.93,360.54
54,279.71,363.28
55,307.37,375.03
56,290.83,403.16
57,266.12,418.95
58,237.63,422.77
59,211.08,418.45
60,187.70,402.09
61,208.57,401.92
62,237.99,407.83
63,269.51,403.10
64,270.16,369.36
65,239.23,372.05
66,210.36,368.17
67,238.57,389.65
68,238.98,331.77
69,162.19,242.42
70,190.12,244.83
71,190.01,257.66
72,161.91,255.71
73,325.02,250.59
74,296.82,250.52
75,297.00,262.94
76,324.95,263.34
