facialLandmark,x,y
1,52.00,131.00
2,56.70,161.00
3,63.50,186.00
4,67.00,197.00
5,75.00,212.30
6,82.70,227.00
7,90.00,241.00
8,106.00,247.00
9,126.00,243.00
10,141.30,229.70
11,155.00,214.70
12,167.00,198.00
13,170.50,186.50
14,176.70,160.30
15,179.00,130.00
16,159.00,118.00
17,146.00,108.00
18,130.00,108.00
19,116.00,116.00
20,131.00,116.00
21,145.00,116.00
22,55.00,118.00
23,65.00,108.00
24,77.00,109.00
25,90.00,117.00
26,77.00,117.00
27,66.00,117.00
28,67.00,132.00
29,77.00,128.00
30,88.00,132.00
31,77.00,135.00
32,78.00,131.00
33,146.00,131.00
34,135.00,127.00
35,124.00,132.00
36,135.00,135.00
37,137.00,130.00
38,91.00,132.00
39,91.00,151.00
40,82.00,164.00
41,86.00,171.00
42,101.00,176.00
43,118.00,171.00
44,123.00,163.00
45,111.00,151.00
46,111.00,132.00
47,89.00,171.00
48,112.00,170.00
49,80.00,194.00
50,87.00,189.00
51,96.00,188.00
52,102.00,189.00
53,107.00,187.00
54,119.00,188.00
55,132.00,192.00
56,125.00,202.00
57,115.00,208.00
58,103.00,210.00
59,93.00,209.00
60,85.00,204.00
61,92.00,200.00
62,103.00,203.00
63,116.00,200.00
64,115.00,193.00
65,102.00,194.00
66,92.00,193.00
67,102.50,198.50
68,98.00,166.00
69,72.00,129.00
70,82.00,129.00
71,82.00,134.00
72,72.00,134.00
73,141.00,129.00
74,130.00,128.00
75,130.00,134.00
76,141.00,134.00
