facialLandmark,x,y
1,75.00,122.00
2,73.70,146.70
3,77.50,171.50
4,80.00,183.00
5,92.00,197.70
6,108.30,210.00
7,129.00,220.00
8,151.00,223.00
9,169.00,219.00
10,184.30,208.30
11,196.70,195.70
12,206.00,181.00
13,208.50,169.50
14,211.00,144.70
15,209.00,120.00
16,194.00,110.00
17,182.00,103.00
18,170.00,105.00
19,159.00,113.00
20,171.00,112.00
21,183.00,110.00
22,96.00,113.00
23,108.00,104.00
24,123.00,105.00
25,136.00,112.00
26,123.00,112.00
27,109.00,112.00
28,105.00,122.00
29,116.00,117.00
30,128.00,123.00
31,116.00,126.00
32,115.00,121.00
33,187.00,121.00
34,176.00,116.00
35,165.00,122.00
36,176.00,125.00
37,176.00,120.00
38,141.00,122.70
39,141.00,143.00
40,130.00,153.00
41,134.00,163.00
42,152.00,167.00
43,168.00,162.00
44,170.00,152.00
45,160.00,142.00
46,160.00,122.30
47,140.00,161.00
48,163.00,160.00
49,120.00,183.00
50,134.00,179.00
51,146.00,179.00
52,152.00,180.00
53,159.00,178.00
54,169.00,179.00
55,179.00,181.00
56,173.00,190.00
57,163.00,194.00
58,152.00,196.00
59,139.00,195.00
60,129.00,190.00
61,137.00,187.00
62,152.00,188.00
63,165.00,186.00
64,165.00,182.00
65,152.00,183.00
66,138.00,183.00
67,152.00,185.50
68,153.00,156.00
69,111.00,119.00
70,122.00,119.00
71,122.00,125.00
72,111.00,125.00
73,181.00,117.00
74,171.00,118.00
75,171.00,124.00
76,182.00,124.00
