facialLandmark,x,y
1,56.00,99.00
2,56.70,121.00
3,60.50,139.00
4,63.00,147.00
5,69.00,158.30
6,76.70,168.00
7,86.00,176.00
8,99.00,179.00
9,113.00,176.00
10,123.00,166.70
11,131.30,156.70
12,138.00,146.00
13,139.50,138.50
14,142.30,119.70
15,141.00,97.00
16,136.00,88.00
17,126.00,83.00
18,116.00,85.00
19,107.00,91.00
20,117.00,89.00
21,127.00,87.00
22,60.00,88.00
23,70.00,84.00
24,79.00,86.00
25,88.00,92.00
26,78.00,90.00
27,69.00,88.00
28,67.00,99.00
29,75.00,94.00
30,84.00,100.00
31,75.00,103.00
32,76.00,98.00
33,128.00,98.00
34,119.00,94.00
35,111.00,100.00
36,120.00,102.00
37,119.00,98.00
38,90.00,100.00
39,90.00,118.00
40,85.00,126.00
41,88.00,132.00
42,97.00,135.00
43,106.00,132.00
44,110.00,126.00
45,104.00,118.00
46,104.00,100.00
47,90.00,131.00
48,104.00,130.00
49,80.00,146.00
50,86.00,144.00
51,93.00,143.00
52,97.00,144.00
53,101.00,143.00
54,109.00,143.00
55,117.00,145.00
56,111.00,151.00
57,105.00,154.00
58,98.00,156.00
59,90.00,155.00
60,84.00,152.00
61,89.00,150.00
62,98.00,151.00
63,106.00,149.00
64,106.00,146.00
65,97.00,147.00
66,89.00,147.00
67,97.50,149.00
68,96.00,127.00
69,71.00,96.00
70,80.00,96.00
71,80.00,102.00
72,71.00,102.00
73,124.00,95.00
74,115.00,95.00
75,115.00,102.00
76,124.00,101.00
