facialLandmark,x,y
1,65.00,82.00
2,59.00,107.30
3,56.00,125.00
4,55.00,132.00
5,59.70,150.70
6,67.70,167.30
7,79.00,182.00
8,96.00,191.00
9,114.00,193.00
10,131.30,188.30
11,147.30,180.00
12,162.00,168.00
13,166.00,160.00
14,174.70,140.00
15,182.00,113.00
16,168.00,97.00
17,158.00,86.00
18,146.00,84.00
19,133.00,88.00
20,145.00,90.00
21,156.00,92.00
22,81.00,75.00
23,94.00,70.00
24,106.00,74.00
25,115.00,84.00
26,104.00,80.00
27,93.00,76.00
28,87.00,88.00
29,98.00,85.00
30,107.00,94.00
31,96.00,94.00
32,97.00,90.00
33,157.00,106.00
34,148.00,98.00
35,136.00,101.00
36,146.00,107.00
37,147.00,102.00
38,109.00,96.30
39,109.00,112.00
40,98.00,120.00
41,100.00,127.00
42,112.00,134.00
43,126.00,133.00
44,131.00,128.00
45,125.00,116.00
46,125.00,98.70
47,105.00,126.00
48,122.00,130.00
49,84.00,141.00
50,95.00,138.00
51,105.00,139.00
52,110.00,141.00
53,116.00,142.00
54,125.00,146.00
55,134.00,154.00
56,126.00,161.00
57,115.00,163.00
58,105.00,161.00
59,95.00,157.00
60,87.00,151.00
61,95.00,151.00
62,106.00,155.00
63,119.00,157.00
64,121.00,148.00
65,109.00,145.00
66,98.00,142.00
67,107.50,150.00
68,114.00,123.00
69,93.00,85.00
70,103.00,88.00
71,101.00,95.00
72,91.00,92.00
73,153.00,101.00
74,142.00,98.00
75,141.00,104.00
76,151.00,107.00
