facialLandmark,x,y
1,63.00,129.00
2,63.00,159.30
3,66.50,184.50
4,68.00,195.00
5,78.00,213.70
6,91.70,229.30
7,109.00,242.00
8,130.00,246.00
9,149.00,242.00
10,165.00,229.30
11,177.70,213.70
12,187.00,195.00
13,188.00,183.50
14,189.70,156.00
15,186.00,125.00
16,173.00,112.00
17,161.00,105.00
18,148.00,106.00
19,137.00,113.00
20,150.00,113.00
21,161.00,112.00
22,72.00,118.00
23,82.00,109.00
24,95.00,108.00
25,108.00,115.00
26,95.00,116.00
27,82.00,116.00
28,81.00,129.00
29,91.00,122.00
30,102.00,128.00
31,91.00,132.00
32,90.00,127.00
33,166.00,125.00
34,155.00,119.00
35,144.00,126.00
36,155.00,129.00
37,155.00,124.00
38,116.00,127.30
39,116.00,149.00
40,109.00,159.00
41,112.00,170.00
42,127.00,173.00
43,141.00,169.00
44,143.00,157.00
45,135.00,148.00
46,135.00,126.70
47,117.00,167.00
48,136.00,166.00
49,104.00,197.00
50,113.00,192.00
51,122.00,190.00
52,129.00,191.00
53,135.00,189.00
54,144.00,191.00
55,153.00,195.00
56,146.00,200.00
57,138.00,203.00
58,129.00,204.00
59,119.00,203.00
60,111.00,201.00
61,117.00,198.00
62,129.00,199.00
63,140.00,197.00
64,140.00,194.00
65,128.00,195.00
66,117.00,195.00
67,128.50,197.00
68,126.00,160.00
69,86.00,124.00
70,96.00,124.00
71,97.00,131.00
72,86.00,131.00
73,160.00,121.00
74,149.00,121.00
75,150.00,128.00
76,161.00,128.00
