facialLandmark,x,y
1,50.00,106.00
2,55.70,126.70
3,61.50,142.00
4,64.00,148.00
5,72.70,158.70
6,83.00,167.70
7,95.00,175.00
8,110.00,177.00
9,123.00,172.00
10,131.70,162.00
11,139.00,150.70
12,145.00,138.00
13,146.00,129.50
14,146.30,110.30
15,143.00,88.00
16,129.00,81.00
17,120.00,78.00
18,111.00,81.00
19,103.00,88.00
20,112.00,85.00
21,120.00,83.00
22,56.00,97.00
23,63.00,90.00
24,73.00,89.00
25,83.00,92.00
26,73.00,94.00
27,64.00,95.00
28,66.00,104.00
29,73.00,98.00
30,82.00,101.00
31,74.00,105.00
32,74.00,101.00
33,124.00,91.00
34,115.00,90.00
35,108.00,96.00
36,117.00,96.00
37,116.00,92.00
38,91.00,99.30
39,91.00,116.00
40,86.00,125.00
41,90.00,129.00
42,102.00,131.00
43,111.00,125.00
44,114.00,119.00
45,105.00,113.00
46,105.00,97.70
47,93.00,128.00
48,108.00,125.00
49,82.00,144.00
50,90.00,139.00
51,98.00,138.00
52,103.00,137.00
53,107.00,136.00
54,116.00,134.00
55,125.00,135.00
56,122.00,144.00
57,115.00,150.00
58,106.00,153.00
59,97.00,154.00
60,89.00,151.00
61,95.00,149.00
62,105.00,149.00
63,115.00,145.00
64,113.00,137.00
65,103.00,140.00
66,93.00,141.00
67,104.00,144.50
68,100.00,124.00
69,69.00,100.00
70,77.00,99.00
71,78.00,103.00
72,70.00,104.00
73,120.00,90.00
74,111.00,91.00
75,112.00,96.00
76,120.00,94.00
