facialLandmark,x,y
1,78.58,201.91
2,76.18,231.35
3,79.30,257.91
4,82.97,285.59
5,90.94,310.55
6,102.34,330.26
7,118.46,349.44
8,144.61,359.50
9,170.37,357.32
10,193.42,344.67
11,215.52,329.95
12,233.64,305.39
13,244.71,272.58
14,249.25,242.58
15,251.37,211.36
16,222.38,187.99
17,202.80,175.56
18,181.66,176.29
19,162.66,186.36
20,182.56,186.96
21,201.60,186.06
22,81.65,185.90
23,96.39,173.27
24,113.55,175.72
25,131.12,187.98
26,112.40,186.14
27,96.12,184.14
28,95.44,205.31
29,109.86,198.52
30,125.97,206.60
31,109.61,211.50
32,111.21,204.41
33,208.08,209.32
34,191.81,201.97
35,175.05,207.79
36,190.79,214.71
37,192.81,207.21
38,137.63,203.59
39,130.80,233.86
40,120.83,251.47
41,126.41,263.67
42,141.73,268.01
43,159.20,266.14
44,168.61,256.90
45,156.92,235.83
46,156.28,204.49
47,129.05,259.32
48,153.99,260.37
49,118.46,295.92
50,125.74,288.21
51,134.65,285.10
52,142.05,286.22
53,150.28,285.94
54,162.82,290.34
55,176.20,299.39
56,167.21,305.98
57,156.36,308.36
58,143.38,308.91
59,132.39,306.39
60,124.88,302.23
61,129.98,294.87
62,142.93,298.72
63,157.92,297.85
64,158.19,294.58
65,142.42,293.44
66,130.14,293.14
67,143.02,295.74
68,139.31,251.69
69,102.57,201.98
70,118.02,202.62
71,117.94,209.02
72,102.66,208.42
73,200.10,205.63
74,183.53,204.86
75,182.98,211.34
76,199.40,212.12
