facialLandmark,x,y
1,314.10,370.64
2,324.91,414.47
3,338.01,451.47
4,358.47,488.94
5,382.84,515.08
6,408.76,536.52
7,439.69,556.67
8,476.78,562.26
9,509.76,548.69
10,529.54,525.35
11,546.02,499.69
12,559.37,471.37
13,567.30,420.00
14,569.27,376.68
15,563.09,329.72
16,540.88,308.92
17,517.85,302.74
18,493.59,310.82
19,471.61,327.47
20,496.85,320.27
21,519.23,312.84
22,342.04,346.60
23,366.10,332.75
24,394.60,331.29
25,421.30,340.26
26,394.10,341.46
27,367.16,342.14
28,364.88,367.14
29,385.08,353.62
30,411.06,361.24
31,388.83,372.98
32,387.58,360.83
33,524.17,337.02
34,501.56,332.06
35,480.50,347.56
36,504.64,347.03
37,503.78,339.47
38,432.80,357.88
39,435.94,409.53
40,424.45,430.47
41,438.63,444.49
42,463.51,448.43
43,484.25,435.95
44,492.21,422.65
45,471.16,398.99
46,458.76,352.80
47,443.09,441.03
48,480.49,433.96
49,420.98,479.31
50,438.64,474.12
51,454.81,470.83
52,467.23,469.56
53,477.40,466.77
54,493.72,464.27
55,510.22,462.35
56,501.93,481.79
57,489.91,495.85
58,472.52,503.55
59,451.82,503.43
60,434.51,495.62
61,445.98,488.60
62,470.24,489.80
63,490.81,480.73
64,488.83,469.78
65,467.68,475.59
66,444.70,477.60
67,469.38,481.37
68,461.72,430.89
69,374.93,360.24
70,397.94,357.55
71,399.90,367.32
72,376.90,370.10
73,513.16,334.46
74,491.29,339.51
75,492.63,347.38
76,514.28,342.14
