facialLandmark,x,y
1,137.86,178.34
2,143.75,204.87
3,152.01,227.15
4,162.86,248.37
5,172.56,264.48
6,184.19,278.99
7,200.46,291.57
8,222.65,293.93
9,241.82,287.68
10,253.92,273.29
11,263.76,258.01
12,272.62,240.22
13,279.23,211.59
14,281.78,185.19
15,280.04,156.95
16,263.74,142.38
17,249.43,135.19
18,234.61,139.60
19,221.62,151.27
20,236.76,148.45
21,250.15,144.99
22,145.90,164.74
23,157.62,152.94
24,172.86,151.94
25,188.75,159.02
26,173.30,161.34
27,159.37,162.56
28,159.24,177.12
29,170.67,169.62
30,184.85,173.80
31,172.24,179.55
32,172.69,173.72
33,255.95,160.41
34,242.86,157.06
35,230.75,165.64
36,244.18,166.24
37,244.51,161.12
38,196.61,169.43
39,196.43,194.95
40,186.32,209.98
41,193.11,217.52
42,212.97,221.48
43,231.85,211.25
44,236.39,203.49
45,221.00,190.29
46,214.87,166.54
47,198.31,215.54
48,225.52,211.41
49,183.69,244.20
50,195.39,236.87
51,207.71,233.15
52,214.85,233.72
53,221.34,231.19
54,234.29,230.76
55,248.89,234.77
56,244.18,250.75
57,232.99,261.26
58,219.71,265.20
59,205.48,264.70
60,192.30,257.30
61,202.05,251.71
62,217.89,252.63
63,231.47,247.82
64,229.90,237.00
65,216.01,240.54
66,201.00,241.53
67,217.03,245.89
68,211.04,208.56
69,165.01,173.26
70,177.82,171.79
71,178.58,176.77
72,165.69,178.34
73,249.41,158.69
74,236.80,161.34
75,237.44,165.89
76,249.99,163.58
