facialLandmark,x,y
1,135.16,349.45
2,130.27,403.03
3,133.57,451.62
4,145.15,507.75
5,167.88,549.05
6,192.39,578.90
7,218.73,612.60
8,261.81,627.58
9,308.86,619.88
10,345.21,591.84
11,373.04,558.26
12,395.27,518.46
13,414.05,473.51
14,425.02,427.70
15,432.43,375.98
16,396.71,358.62
17,368.75,338.60
18,335.74,338.74
19,306.01,352.37
20,336.07,356.64
21,366.72,358.46
22,166.83,329.79
23,192.56,315.37
24,222.36,321.13
25,249.62,341.78
26,219.22,339.03
27,192.17,334.71
28,180.59,353.45
29,206.53,344.47
30,234.07,359.99
31,205.34,365.48
32,206.38,353.93
33,377.80,376.39
34,351.46,362.05
35,322.42,371.03
36,349.71,383.53
37,351.35,371.35
38,262.45,365.57
39,253.39,406.58
40,221.77,437.07
41,232.24,451.66
42,271.15,467.60
43,306.58,459.33
44,321.71,447.70
45,298.00,412.41
46,295.69,368.83
47,243.45,450.97
48,298.45,456.19
49,208.89,502.80
50,233.81,494.61
51,256.78,494.21
52,270.24,497.60
53,284.69,496.22
54,305.04,501.14
55,324.40,512.94
56,309.91,529.33
57,290.97,538.21
58,267.23,538.74
59,243.55,534.38
60,223.68,522.71
61,242.50,516.57
62,268.64,524.27
63,296.95,521.69
64,297.73,507.96
65,269.95,507.99
66,243.40,503.25
67,268.91,516.01
68,271.88,445.50
69,193.51,348.86
70,220.08,352.40
71,219.88,362.79
72,192.99,359.76
73,364.78,369.28
74,337.10,366.66
75,336.19,377.20
76,363.38,379.99
