facialLandmark,x,y
1,189.36,231.79
2,191.52,264.18
3,196.99,291.80
4,207.71,319.06
5,221.39,342.34
6,237.75,362.45
7,260.20,379.52
8,288.78,384.91
9,316.52,377.00
10,335.46,359.12
11,350.06,338.19
12,361.95,313.76
13,370.15,280.54
14,372.65,250.06
15,368.45,216.21
16,350.51,191.93
17,335.22,182.37
18,316.07,183.63
19,299.11,194.97
20,317.32,192.13
21,334.52,190.49
22,204.82,205.68
23,219.30,196.09
24,235.85,193.52
25,253.94,200.27
26,235.94,201.69
27,220.40,202.61
28,215.34,229.28
29,230.83,218.20
30,249.00,227.19
31,232.03,233.51
32,233.26,225.17
33,340.50,216.98
34,323.62,209.15
35,307.62,221.62
36,325.50,224.66
37,325.41,216.27
38,266.18,222.76
39,264.91,254.70
40,248.68,271.87
41,256.56,281.55
42,283.32,287.72
43,310.37,276.14
44,316.41,268.79
45,295.14,250.29
46,288.33,220.36
47,264.58,280.11
48,300.91,276.89
49,240.14,311.89
50,257.87,303.40
51,274.72,300.87
52,283.99,301.60
53,292.44,299.25
54,309.23,299.06
55,327.91,304.10
56,318.99,322.94
57,304.15,334.64
58,286.63,339.43
59,267.81,338.19
60,250.51,329.34
61,265.18,324.30
62,285.80,326.32
63,304.70,320.47
64,303.54,307.14
65,284.71,310.97
66,264.55,310.75
67,285.28,317.85
68,282.55,272.20
69,223.04,223.60
70,239.84,222.85
71,240.41,230.39
72,223.48,231.37
73,332.11,212.93
74,315.69,215.26
75,316.51,223.20
76,332.95,221.00
